Latitude: 47.3544564, Longitude: 9.6173977, Information Type: guidepost, Reference: VWW 56.22
Latitude: 47.3499082, Longitude: 9.6218559, Information Type: guidepost, Reference: VWW 56.04
Latitude: 47.3485200, Longitude: 9.6247903, Information Type: guidepost, Reference: VWW 56.21
Latitude: 47.3506076, Longitude: 9.6226267, Information Type: guidepost, Reference: VWW 56.01
Latitude: 47.3533795, Longitude: 9.6292638, Information Type: guidepost, Reference: VWW 56.05
Latitude: 47.3549163, Longitude: 9.6311747, Information Type: guidepost, Reference: VWW 56.06
Latitude: 47.3598153, Longitude: 9.6226989, Information Type: guidepost, Reference: VWW 56.11
Latitude: 47.3603839, Longitude: 9.6239966, Information Type: guidepost, Reference: VWW 56.07
Latitude: 47.3610560, Longitude: 9.6201540, Information Type: guidepost, Reference: VWW 56.12
Latitude: 47.3536740, Longitude: 9.6200451, Information Type: guidepost, Reference: VWW 56.08
Latitude: 47.3584294, Longitude: 9.6201586, Information Type: guidepost, Reference: VWW 56.10
Latitude: 47.3561023, Longitude: 9.6156140, Information Type: guidepost, Reference: VWW 56.15
Latitude: 47.3557911, Longitude: 9.6163505, Information Type: guidepost, Reference: VWW 56.14
Latitude: 47.3468168, Longitude: 9.6045059, Information Type: guidepost, Reference: VWW 56.18
Latitude: 47.3466815, Longitude: 9.6028923, Information Type: guidepost, Reference: VWW 56.17
Latitude: 47.3482747, Longitude: 9.6232153, Information Type: guidepost, Reference: VWW 56.03
Latitude: 47.3486386, Longitude: 9.6214350, Information Type: guidepost, Reference: VWW 56.02
Latitude: 47.3452829, Longitude: 9.6088403, Information Type: guidepost, Reference: VWW 56.19
Latitude: 47.3463883, Longitude: 9.6177558, Information Type: guidepost, Reference: VWW 56.20
Latitude: 47.3557321, Longitude: 9.6129552, Information Type: guidepost, Reference: VWW 56.16
Latitude: 47.3569231, Longitude: 9.6142590, Information Type: guidepost, Reference: VWW 56.13
