Latitude: 47.3766504, Longitude: 9.8886411, Information Type: guidepost, Reference: VWW 65.08
Latitude: 47.3625819, Longitude: 9.8789949, Information Type: guidepost, Reference: VWW 65.06
Latitude: 47.3787553, Longitude: 9.8878761, Information Type: guidepost, Reference: VWW 65.09
Latitude: 47.3808529, Longitude: 9.8776664, Information Type: guidepost, Reference: VWW 65.10
Latitude: 47.3693024, Longitude: 9.8452165, Information Type: guidepost, Reference: VWW 65.14
Latitude: 47.3755381, Longitude: 9.8529258, Information Type: guidepost, Reference: VWW 65.13
Latitude: 47.3736651, Longitude: 9.8562258, Information Type: guidepost, Reference: VWW 65.12
Latitude: 47.3663395, Longitude: 9.8730694, Information Type: guidepost, Reference: VWW 65.11
Latitude: 47.3716983, Longitude: 9.8880659, Information Type: guidepost, Reference: VWW 65.07
Latitude: 47.3713345, Longitude: 9.8949615, Information Type: guidepost, Reference: VWW 65.18
Latitude: 47.3713440, Longitude: 9.8941376, Information Type: guidepost, Reference: VWW 65.05
Latitude: 47.3706407, Longitude: 9.8936486, Information Type: guidepost, Reference: VWW 65.02
Latitude: 47.3711788, Longitude: 9.9011698, Information Type: guidepost, Reference: VWW 65.03
Latitude: 47.3722895, Longitude: 9.9007820, Information Type: guidepost, Reference: VWW 65.04
Latitude: 47.3612906, Longitude: 9.8960284, Information Type: guidepost, Reference: VWW 65.15
Latitude: 47.3577996, Longitude: 9.8980851, Information Type: guidepost, Reference: VWW 65.17
Latitude: 47.3576887, Longitude: 9.8958834, Information Type: guidepost, Reference: VWW 65.16
Latitude: 47.3709263, Longitude: 9.8937014, Information Type: guidepost, Reference: VWW 65.01
