Latitude: 47.5060742, Longitude: 9.9362760, Information Type: guidepost, Reference: VWW 66.26
Latitude: 47.5065316, Longitude: 9.9471115, Information Type: guidepost, Reference: VWW 66.30
Latitude: 47.4852286, Longitude: 9.9479183, Information Type: guidepost, Reference: VWW 66.29
Latitude: 47.4989450, Longitude: 9.9563702, Information Type: guidepost, Reference: VWW 66.20
Latitude: 47.4998005, Longitude: 9.9614518, Information Type: guidepost, Reference: VWW 66.15
Latitude: 47.5031142, Longitude: 9.9742452, Information Type: guidepost, Reference: VWW 66.42
Latitude: 47.4978145, Longitude: 9.9724190, Information Type: guidepost, Reference: VWW 66.14
Latitude: 47.4886514, Longitude: 9.9885309, Information Type: guidepost, Reference: VWW 66.28
Latitude: 47.4891605, Longitude: 9.9853865, Information Type: guidepost, Reference: VWW 66.10
Latitude: 47.4943913, Longitude: 9.9819025, Information Type: guidepost, Reference: VWW 66.09
Latitude: 47.4963726, Longitude: 9.9824843, Information Type: guidepost, Reference: VWW 66.08
Latitude: 47.4978639, Longitude: 9.9798642, Information Type: guidepost, Reference: VWW 66.07
Latitude: 47.5009955, Longitude: 9.9765186, Information Type: guidepost, Reference: VWW 66.06
Latitude: 47.5019818, Longitude: 9.9781558, Information Type: guidepost, Reference: VWW 66.05
Latitude: 47.5081492, Longitude: 9.9783550, Information Type: guidepost, Reference: VWW 66.04
Latitude: 47.5059491, Longitude: 9.9792479, Information Type: guidepost, Reference: VWW 66.34
Latitude: 47.5040177, Longitude: 9.9630212, Information Type: guidepost, Reference: VWW 66.01
Latitude: 47.5039450, Longitude: 9.9488430, Information Type: guidepost, Reference: VWW 66.18
Latitude: 47.5048257, Longitude: 9.9622025, Information Type: guidepost, Reference: VWW 66.25
Latitude: 47.5064132, Longitude: 9.9509116, Information Type: guidepost, Reference: VWW 66.17
Latitude: 47.5091430, Longitude: 9.9552976, Information Type: guidepost, Reference: VWW 66.16
Latitude: 47.5042418, Longitude: 9.9678785, Information Type: guidepost, Reference: VWW 66.03
Latitude: 47.5053617, Longitude: 9.9645188, Information Type: guidepost, Reference: VWW 66.02
Latitude: 47.5063330, Longitude: 9.9658270, Information Type: guidepost, Reference: VWW 66.23
Latitude: 47.5108299, Longitude: 9.9523562, Information Type: guidepost, Reference: VWW 66.22
Latitude: 47.4883320, Longitude: 9.9424304, Information Type: guidepost, Reference: VWW 66.21
Latitude: 47.4918502, Longitude: 9.9706749, Information Type: guidepost, Reference: VWW 66.13
Latitude: 47.4906166, Longitude: 9.9739577, Information Type: guidepost, Reference: VWW 66.12
Latitude: 47.4907190, Longitude: 9.9743549, Information Type: guidepost, Reference: VWW 66.11
Latitude: 47.4847941, Longitude: 9.9960577, Information Type: guidepost, Reference: VWW 66.32
Latitude: 47.5096502, Longitude: 9.9802215, Information Type: guidepost, Reference: VWW 66.24
Latitude: 47.5185659, Longitude: 9.9688612, Information Type: guidepost, Reference: VWW 66.27
Latitude: 47.4976235, Longitude: 9.9671605, Information Type: guidepost, Reference: VWW 66.31
Latitude: 47.5007653, Longitude: 9.9462554, Information Type: guidepost, Reference: VWW 66.19
