Latitude: 46.9583657, Longitude: 9.9182586, Information Type: guidepost, Reference: VWW 70.207
Latitude: 46.9573672, Longitude: 9.9182442, Information Type: guidepost, Reference: VWW 70.210
Latitude: 46.9249377, Longitude: 9.9079759, Information Type: guidepost, Reference: VWW 70.215
Latitude: 46.9653378, Longitude: 9.8789493, Information Type: guidepost, Reference: VWW 70.196
Latitude: 46.9614299, Longitude: 9.8937286, Information Type: guidepost, Reference: VWW 70.235
Latitude: 46.9728869, Longitude: 9.9984997, Information Type: guidepost, Reference: VWW 70.105
Latitude: 47.0207071, Longitude: 9.9951183, Information Type: guidepost, Reference: VWW 70.033
Latitude: 47.0109232, Longitude: 10.0029864, Information Type: guidepost, Reference: VWW 70.072
Latitude: 47.0124547, Longitude: 10.0015877, Information Type: guidepost, Reference: VWW 70.052
Latitude: 47.0129443, Longitude: 10.0028070, Information Type: guidepost, Reference: VWW 70.073
Latitude: 47.0159343, Longitude: 10.0022900, Information Type: guidepost, Reference: VWW 70.051
Latitude: 47.0125861, Longitude: 10.0047554, Information Type: guidepost, Reference: VWW 70.075
Latitude: 47.0134530, Longitude: 10.0038783, Information Type: guidepost, Reference: VWW 70.074
Latitude: 47.0182387, Longitude: 10.0053366, Information Type: guidepost, Reference: VWW 70.080
Latitude: 47.0175055, Longitude: 10.0068587, Information Type: guidepost, Reference: VWW 70.079
Latitude: 47.0196532, Longitude: 10.0040309, Information Type: guidepost, Reference: VWW 70.081
Latitude: 47.0114866, Longitude: 10.0138237, Information Type: guidepost, Reference: VWW 70.077
Latitude: 47.0137065, Longitude: 10.0093890, Information Type: guidepost, Reference: VWW 70.076
Latitude: 47.0154793, Longitude: 10.0110832, Information Type: guidepost, Reference: VWW 70.078
Latitude: 47.0217316, Longitude: 9.9948505, Information Type: guidepost, Reference: VWW 70.031
Latitude: 47.0226482, Longitude: 10.0123782, Information Type: guidepost, Reference: VWW 70.084
Latitude: 46.9771065, Longitude: 9.9830377, Information Type: guidepost, Reference: VWW 70.106
Latitude: 47.0291038, Longitude: 9.9872113, Information Type: guidepost, Reference: VWW 70.026
Latitude: 46.9892642, Longitude: 9.9359985, Information Type: guidepost, Reference: VWW 70.134
Latitude: 46.9872263, Longitude: 9.9364496, Information Type: guidepost, Reference: VWW 70.135
Latitude: 47.0129700, Longitude: 9.9907065, Information Type: guidepost, Reference: VWW 70.045
Latitude: 47.0181683, Longitude: 9.9712704, Information Type: guidepost, Reference: VWW 70.066
Latitude: 47.0182651, Longitude: 9.9726501, Information Type: guidepost, Reference: VWW 70.061
Latitude: 46.9968223, Longitude: 9.9466956, Information Type: guidepost, Reference: VWW 70.131
Latitude: 46.9772559, Longitude: 9.9147069, Information Type: guidepost, Reference: VWW 70.165
Latitude: 47.0095066, Longitude: 9.9502976, Information Type: guidepost, Reference: VWW 70.125
Latitude: 46.9979923, Longitude: 9.9781664, Information Type: guidepost, Reference: VWW 70.114
Latitude: 47.0318835, Longitude: 9.9918706, Information Type: guidepost, Reference: VWW 70.028
Latitude: 47.0374062, Longitude: 10.0028478, Information Type: guidepost, Reference: VWW 70.029
Latitude: 47.0158874, Longitude: 9.9995071, Information Type: guidepost, Reference: VWW 70.050
Latitude: 46.9249707, Longitude: 9.9839240, Information Type: guidepost, Reference: VWW 31.267
Latitude: 47.0178595, Longitude: 10.0584046, Information Type: guidepost, Reference: VWW 31.035
Latitude: 47.0189800, Longitude: 10.0553804, Information Type: guidepost, Reference: VWW 70.087
Latitude: 46.9809117, Longitude: 9.9921352, Information Type: guidepost, Reference: VWW 70.101
Latitude: 47.0205351, Longitude: 10.0274249, Information Type: guidepost, Reference: VWW 70.068
Latitude: 46.9442820, Longitude: 9.9544505, Information Type: guidepost, Reference: VWW 70.218
Latitude: 46.9255093, Longitude: 9.9737889, Information Type: guidepost, Reference: VWW 70.217
Latitude: 46.9249227, Longitude: 9.9495020, Information Type: guidepost, Reference: VWW 70.216
Latitude: 46.9228601, Longitude: 9.9345365, Information Type: guidepost, Reference: VWW 70.213
Latitude: 46.9561693, Longitude: 9.8925948, Information Type: guidepost, Reference: VWW 70.229
Latitude: 46.9572319, Longitude: 9.8954939, Information Type: guidepost, Reference: VWW 70.230
Latitude: 46.9685340, Longitude: 9.9191122, Information Type: guidepost, Reference: VWW 70.180
Latitude: 47.0298553, Longitude: 10.0358823, Information Type: guidepost, Reference: VWW 70.069
Latitude: 47.0321611, Longitude: 10.0337410, Information Type: guidepost, Reference: VWW 70.085
Latitude: 47.0603614, Longitude: 9.9763620, Information Type: guidepost, Reference: VWW 78.133
