Latitude: 47.2163193, Longitude: 9.8030700, Information Type: guidepost, Reference: VWW 71.26
Latitude: 47.2235779, Longitude: 9.8144037, Information Type: guidepost, Reference: VWW 71.13
Latitude: 47.2250316, Longitude: 9.8194704, Information Type: guidepost, Reference: VWW 71.14
Latitude: 47.2331673, Longitude: 9.8217611, Information Type: guidepost, Reference: VWW 71.43
Latitude: 47.2307846, Longitude: 9.8208075, Information Type: guidepost, Reference: VWW 71.15
Latitude: 47.2301384, Longitude: 9.8206055, Information Type: guidepost, Reference: VWW 71.42
Latitude: 47.2169381, Longitude: 9.8048360, Information Type: guidepost, Reference: VWW 71.45
Latitude: 47.2177896, Longitude: 9.8198753, Information Type: guidepost, Reference: VWW 71.07
Latitude: 47.2173641, Longitude: 9.8207123, Information Type: guidepost, Reference: VWW 71.08
Latitude: 47.2179808, Longitude: 9.8218371, Information Type: guidepost, Reference: VWW 71.09
Latitude: 47.2176776, Longitude: 9.8236079, Information Type: guidepost, Reference: VWW 71.10
Latitude: 47.2204272, Longitude: 9.8242027, Information Type: guidepost, Reference: VWW 71.38
Latitude: 47.2191950, Longitude: 9.8171775, Information Type: guidepost, Reference: VWW 71.11
Latitude: 47.2182477, Longitude: 9.8174550, Information Type: guidepost, Reference: VWW 71.36
Latitude: 47.2182289, Longitude: 9.8163202, Information Type: guidepost, Reference: VWW 71.01
Latitude: 47.2186056, Longitude: 9.8158436, Information Type: guidepost, Reference: VWW 71.06
Latitude: 47.2193103, Longitude: 9.8118567, Information Type: guidepost, Reference: VWW 71.02
Latitude: 47.2189248, Longitude: 9.8164584, Information Type: guidepost, Reference: VWW 71.05
Latitude: 47.2211180, Longitude: 9.8177195, Information Type: guidepost, Reference: VWW 71.12
Latitude: 47.2207703, Longitude: 9.8168810, Information Type: guidepost, Reference: VWW 71.37
Latitude: 47.2205917, Longitude: 9.8156103, Information Type: guidepost, Reference: VWW 71.04
Latitude: 47.2212600, Longitude: 9.8124123, Information Type: guidepost, Reference: VWW 71.03
Latitude: 47.2200489, Longitude: 9.8113893, Information Type: guidepost, Reference: VWW 71.34
Latitude: 47.2201396, Longitude: 9.8012320, Information Type: guidepost, Reference: VWW 71.33
Latitude: 47.2232243, Longitude: 9.8222210, Information Type: guidepost, Reference: VWW 71.41
Latitude: 47.2237056, Longitude: 9.8248447, Information Type: guidepost, Reference: VWW 71.40
Latitude: 47.2226660, Longitude: 9.8056855, Information Type: guidepost, Reference: VWW 71.32
Latitude: 47.2339383, Longitude: 9.8139819, Information Type: guidepost, Reference: VWW 71.19
Latitude: 47.2312297, Longitude: 9.8161064, Information Type: guidepost, Reference: VWW 71.18
Latitude: 47.2304711, Longitude: 9.8163754, Information Type: guidepost, Reference: VWW 71.17
Latitude: 47.2326421, Longitude: 9.8184028, Information Type: guidepost, Reference: VWW 71.44
Latitude: 47.2302373, Longitude: 9.8131927, Information Type: guidepost, Reference: VWW 71.16
Latitude: 47.2273353, Longitude: 9.8033085, Information Type: guidepost, Reference: VWW 71.31
Latitude: 47.2330493, Longitude: 9.7994090, Information Type: guidepost, Reference: VWW 71.25
Latitude: 47.2326059, Longitude: 9.8001858, Information Type: guidepost, Reference: VWW 71.27
Latitude: 47.2355015, Longitude: 9.8149715, Information Type: guidepost, Reference: VWW 71.20
Latitude: 47.2427048, Longitude: 9.7996688, Information Type: guidepost, Reference: VWW 71.24
Latitude: 47.2461942, Longitude: 9.8110560, Information Type: guidepost, Reference: VWW 71.21
Latitude: 47.2492208, Longitude: 9.8120256, Information Type: guidepost, Reference: VWW 71.22
Latitude: 47.2499858, Longitude: 9.8093178, Information Type: guidepost, Reference: VWW 71.23
Latitude: 47.2554304, Longitude: 9.8149750, Information Type: guidepost, Reference: VWW 71.100
Latitude: 47.2325293, Longitude: 9.7918736, Information Type: guidepost, Reference: VWW 71.30
