Latitude: 47.2062629, Longitude: 9.6988051, Information Type: guidepost, Reference: VWW 73.12
Latitude: 47.2053738, Longitude: 9.7056294, Information Type: guidepost, Reference: VWW 73.04
Latitude: 47.2028858, Longitude: 9.7085965, Information Type: guidepost, Reference: VWW 73.05
Latitude: 47.2029966, Longitude: 9.7075263, Information Type: guidepost, Reference: VWW 73.06
Latitude: 47.2065310, Longitude: 9.7097106, Information Type: guidepost, Reference: VWW 73.10
Latitude: 47.2031952, Longitude: 9.7022144, Information Type: guidepost, Reference: VWW 73.09
Latitude: 47.2114307, Longitude: 9.6963489, Information Type: guidepost, Reference: VWW 73.01
Latitude: 47.2054708, Longitude: 9.7043378, Information Type: guidepost, Reference: VWW 73.08
Latitude: 47.2055964, Longitude: 9.7039981, Information Type: guidepost, Reference: VWW 73.23
Latitude: 47.1996221, Longitude: 9.7042649, Information Type: guidepost, Reference: VWW 73.24
Latitude: 47.1994695, Longitude: 9.7119881, Information Type: guidepost, Reference: VWW 11.17
Latitude: 47.2101847, Longitude: 9.6965295, Information Type: guidepost, Reference: VWW 73.19
Latitude: 47.2047356, Longitude: 9.6989184, Information Type: guidepost, Reference: VWW 73.18
Latitude: 47.2045159, Longitude: 9.6979499, Information Type: guidepost, Reference: VWW 73.17
Latitude: 47.2045237, Longitude: 9.6946612, Information Type: guidepost, Reference: VWW 73.21
Latitude: 47.2039923, Longitude: 9.6948878, Information Type: guidepost, Reference: VWW 73.22
Latitude: 47.2039961, Longitude: 9.6928212, Information Type: guidepost, Reference: VWW 73.16
Latitude: 47.2022075, Longitude: 9.6944838, Information Type: guidepost, Reference: VWW 73.15
Latitude: 47.2061962, Longitude: 9.6997519, Information Type: guidepost, Reference: VWW 73.11
Latitude: 47.2003188, Longitude: 9.7117104, Information Type: guidepost, Reference: VWW 73.07
Latitude: 47.2061904, Longitude: 9.7039492, Information Type: guidepost, Reference: VWW 73.03
Latitude: 47.2064541, Longitude: 9.7037246, Information Type: guidepost, Reference: VWW 73.02
