Latitude: 47.3588414, Longitude: 10.0012576, Information Type: guidepost, Reference: VWW 74.40
Latitude: 47.3548623, Longitude: 10.0011663, Information Type: guidepost, Reference: VWW 74.39
Latitude: 47.3453496, Longitude: 9.9857101, Information Type: guidepost, Reference: VWW 74.34
Latitude: 47.3504632, Longitude: 9.9731010, Information Type: guidepost, Reference: VWW 74.36
Latitude: 47.3452224, Longitude: 9.9640454, Information Type: guidepost, Reference: VWW 74.32
Latitude: 47.3536223, Longitude: 9.9729963, Information Type: guidepost, Reference: VWW 74.02
Latitude: 47.3511907, Longitude: 9.9077382, Information Type: guidepost, Reference: VWW 74.49
Latitude: 47.3507142, Longitude: 9.9146542, Information Type: guidepost, Reference: VWW 74.50
Latitude: 47.3571728, Longitude: 9.9546625, Information Type: guidepost, Reference: VWW 74.48
Latitude: 47.3567551, Longitude: 9.9460915, Information Type: guidepost, Reference: VWW 74.29
Latitude: 47.3547559, Longitude: 9.9412065, Information Type: guidepost, Reference: VWW 74.04
Latitude: 47.3557447, Longitude: 9.9471299, Information Type: guidepost, Reference: VWW 74.28
Latitude: 47.3440268, Longitude: 9.9559906, Information Type: guidepost, Reference: VWW 74.27
Latitude: 47.3554852, Longitude: 9.9861720, Information Type: guidepost, Reference: VWW 74.38
Latitude: 47.3510439, Longitude: 9.9639416, Information Type: guidepost, Reference: VWW 74.41
Latitude: 47.3518942, Longitude: 9.9782153, Information Type: guidepost, Reference: VWW 74.37
Latitude: 47.3551217, Longitude: 9.9405192, Information Type: guidepost, Reference: VWW 74.46
Latitude: 47.3544761, Longitude: 9.9415357, Information Type: guidepost, Reference: VWW 74.03
Latitude: 47.3540002, Longitude: 9.9252101, Information Type: guidepost, Reference: VWW 74.06
Latitude: 47.3527067, Longitude: 9.9327847, Information Type: guidepost, Reference: VWW 74.42
Latitude: 47.3527296, Longitude: 9.9279122, Information Type: guidepost, Reference: VWW 74.08
Latitude: 47.3534176, Longitude: 9.9009658, Information Type: guidepost, Reference: VWW 74.43
Latitude: 47.3549037, Longitude: 9.9035464, Information Type: guidepost, Reference: VWW 74.14
Latitude: 47.3518253, Longitude: 9.9092196, Information Type: guidepost, Reference: VWW 74.13
Latitude: 47.3538471, Longitude: 9.9234288, Information Type: guidepost, Reference: VWW 74.07
Latitude: 47.3522299, Longitude: 9.9136298, Information Type: guidepost, Reference: VWW 74.12
Latitude: 47.3515212, Longitude: 9.9183747, Information Type: guidepost, Reference: VWW 74.11
Latitude: 47.3510389, Longitude: 9.9197849, Information Type: guidepost, Reference: VWW 74.10
Latitude: 47.3515678, Longitude: 9.9361503, Information Type: guidepost, Reference: VWW 74.09
Latitude: 47.3520027, Longitude: 9.9451978, Information Type: guidepost, Reference: VWW 74.01
Latitude: 47.3474308, Longitude: 9.9430275, Information Type: guidepost, Reference: VWW 74.22
Latitude: 47.3466288, Longitude: 9.9424998, Information Type: guidepost, Reference: VWW 74.21
Latitude: 47.3456758, Longitude: 9.9163870, Information Type: guidepost, Reference: VWW 74.17
Latitude: 47.3442873, Longitude: 9.9162803, Information Type: guidepost, Reference: VWW 74.18
Latitude: 47.3446858, Longitude: 9.9504935, Information Type: guidepost, Reference: VWW 74.24
Latitude: 47.3425458, Longitude: 9.9388978, Information Type: guidepost, Reference: VWW 74.20
Latitude: 47.3423251, Longitude: 9.9328051, Information Type: guidepost, Reference: VWW 74.19
Latitude: 47.3472849, Longitude: 9.9494469, Information Type: guidepost, Reference: VWW 74.23
Latitude: 47.3439289, Longitude: 9.9638020, Information Type: guidepost, Reference: VWW 74.33
Latitude: 47.3514968, Longitude: 9.9582584, Information Type: guidepost, Reference: VWW 74.31
Latitude: 47.3520141, Longitude: 9.9551231, Information Type: guidepost, Reference: VWW 74.26
Latitude: 47.3465546, Longitude: 9.9532047, Information Type: guidepost, Reference: VWW 74.25
Latitude: 47.3522608, Longitude: 9.9577857, Information Type: guidepost, Reference: VWW 74.30
Latitude: 47.3576465, Longitude: 9.9074697, Information Type: guidepost, Reference: VWW 74.15
Latitude: 47.3544011, Longitude: 9.9232695, Information Type: guidepost, Reference: VWW 74.16
Latitude: 47.3489348, Longitude: 9.9782282, Information Type: guidepost, Reference: VWW 74.35
