Latitude: 47.2141394, Longitude: 9.7187604, Information Type: guidepost, Reference: VWW 75.03
Latitude: 47.2187446, Longitude: 9.7355149, Information Type: guidepost, Reference: VWW 75.11
Latitude: 47.2140089, Longitude: 9.7413744, Information Type: guidepost, Reference: VWW 75.30
Latitude: 47.2147738, Longitude: 9.7321186, Information Type: guidepost, Reference: VWW 75.27
Latitude: 47.2178010, Longitude: 9.7342554, Information Type: guidepost, Reference: VWW 75.29
Latitude: 47.2153222, Longitude: 9.7361252, Information Type: guidepost, Reference: VWW 75.28
Latitude: 47.2181532, Longitude: 9.7352857, Information Type: guidepost, Reference: VWW 75.31
Latitude: 47.2142508, Longitude: 9.7294248, Information Type: guidepost, Reference: VWW 75.21
Latitude: 47.2305022, Longitude: 9.7499078, Information Type: guidepost, Reference: VWW 75.17
Latitude: 47.2303745, Longitude: 9.7495297, Information Type: guidepost, Reference: VWW 75.18
Latitude: 47.2181930, Longitude: 9.7372846, Information Type: guidepost, Reference: VWW 75.12
Latitude: 47.2205195, Longitude: 9.7290925, Information Type: guidepost, Reference: VWW 75.09
Latitude: 47.2203952, Longitude: 9.7295339, Information Type: guidepost, Reference: VWW 75.10
Latitude: 47.2178440, Longitude: 9.7241924, Information Type: guidepost, Reference: VWW 75.14
Latitude: 47.2139184, Longitude: 9.7392398, Information Type: guidepost, Reference: VWW 75.23
Latitude: 47.2143923, Longitude: 9.7421502, Information Type: guidepost, Reference: VWW 75.22
Latitude: 47.2126605, Longitude: 9.7343063, Information Type: guidepost, Reference: VWW 75.25
Latitude: 47.2099626, Longitude: 9.7407720, Information Type: guidepost, Reference: VWW 75.24
Latitude: 47.2140662, Longitude: 9.7280396, Information Type: guidepost, Reference: VWW 75.07
Latitude: 47.2141488, Longitude: 9.7265299, Information Type: guidepost, Reference: VWW 75.06
Latitude: 47.2142829, Longitude: 9.7253817, Information Type: guidepost, Reference: VWW 75.05
Latitude: 47.2142707, Longitude: 9.7250087, Information Type: guidepost, Reference: VWW 75.04
Latitude: 47.2128905, Longitude: 9.7297399, Information Type: guidepost, Reference: VWW 75.26
Latitude: 47.2148726, Longitude: 9.7175092, Information Type: guidepost, Reference: VWW 75.02
Latitude: 47.2151736, Longitude: 9.7171143, Information Type: guidepost, Reference: VWW 75.01
Latitude: 47.2297920, Longitude: 9.7486177, Information Type: guidepost, Reference: VWW 75.19
Latitude: 47.2213127, Longitude: 9.7325461, Information Type: guidepost, Reference: VWW 75.15
