Latitude: 47.4554894, Longitude: 9.7601685, Information Type: guidepost, Reference: VWW 95.33
Latitude: 47.4561470, Longitude: 9.7615844, Information Type: guidepost, Reference: VWW 79.20
Latitude: 47.4526111, Longitude: 9.7803748, Information Type: guidepost, Reference: VWW 79.15
Latitude: 47.4471023, Longitude: 9.7592970, Information Type: guidepost, Reference: VWW 79.29
Latitude: 47.4432509, Longitude: 9.7493250, Information Type: guidepost, Reference: VWW 79.36
Latitude: 47.4469849, Longitude: 9.7386091, Information Type: guidepost, Reference: VWW 79.38
Latitude: 47.4446892, Longitude: 9.7498784, Information Type: guidepost, Reference: VWW 79.37
Latitude: 47.4439763, Longitude: 9.7545443, Information Type: guidepost, Reference: VWW 79.34
Latitude: 47.4409174, Longitude: 9.7548274, Information Type: guidepost, Reference: VWW 79.35
Latitude: 47.4388258, Longitude: 9.7602541, Information Type: guidepost, Reference: VWW 79.06
Latitude: 47.4561575, Longitude: 9.7688515, Information Type: guidepost, Reference: VWW 79.22
Latitude: 47.4562973, Longitude: 9.7744399, Information Type: guidepost, Reference: VWW 79.24
Latitude: 47.4543132, Longitude: 9.7609004, Information Type: guidepost, Reference: VWW 79.25
Latitude: 47.4475125, Longitude: 9.7644223, Information Type: guidepost, Reference: VWW 79.41
Latitude: 47.4550927, Longitude: 9.7611414, Information Type: guidepost, Reference: VWW 79.19
Latitude: 47.4534994, Longitude: 9.7692388, Information Type: guidepost, Reference: VWW 79.23
Latitude: 47.4523762, Longitude: 9.7747121, Information Type: guidepost, Reference: VWW 79.14
Latitude: 47.4519674, Longitude: 9.7738171, Information Type: guidepost, Reference: VWW 79.13
Latitude: 47.4458960, Longitude: 9.7543338, Information Type: guidepost, Reference: VWW 79.33
Latitude: 47.4461275, Longitude: 9.7637462, Information Type: guidepost, Reference: VWW 79.01
Latitude: 47.4486387, Longitude: 9.7649885, Information Type: guidepost, Reference: VWW 79.10
Latitude: 47.4487006, Longitude: 9.7659470, Information Type: guidepost, Reference: VWW 79.11
Latitude: 47.4492780, Longitude: 9.7772151, Information Type: guidepost, Reference: VWW 79.09
Latitude: 47.4451299, Longitude: 9.7659617, Information Type: guidepost, Reference: VWW 79.08
Latitude: 47.4449863, Longitude: 9.7632582, Information Type: guidepost, Reference: VWW 79.02
Latitude: 47.4445825, Longitude: 9.7628717, Information Type: guidepost, Reference: VWW 79.03
Latitude: 47.4437124, Longitude: 9.7650660, Information Type: guidepost, Reference: VWW 79.04
Latitude: 47.4427219, Longitude: 9.7658996, Information Type: guidepost, Reference: VWW 79.05
Latitude: 47.4460935, Longitude: 9.7548534, Information Type: guidepost, Reference: VWW 79.31
Latitude: 47.4458412, Longitude: 9.7546375, Information Type: guidepost, Reference: VWW 79.32
Latitude: 47.4520599, Longitude: 9.7585973, Information Type: guidepost, Reference: VWW 79.28
Latitude: 47.4493731, Longitude: 9.7529294, Information Type: guidepost, Reference: VWW 79.40
Latitude: 47.4509408, Longitude: 9.7411511, Information Type: guidepost, Reference: VWW 79.39
Latitude: 47.4468561, Longitude: 9.7581464, Information Type: guidepost, Reference: VWW 79.30
Latitude: 47.4510040, Longitude: 9.7689596, Information Type: guidepost, Reference: VWW 79.12
Latitude: 47.4559664, Longitude: 9.7634268, Information Type: guidepost, Reference: VWW 79.21
