Latitude: 47.4194118, Longitude: 9.8107293, Information Type: guidepost, Reference: VWW 80.57
Latitude: 47.4140499, Longitude: 9.8499700, Information Type: guidepost, Reference: VWW 80.13
Latitude: 47.4131867, Longitude: 9.8328909, Information Type: guidepost, Reference: VWW 80.19
Latitude: 47.3931517, Longitude: 9.8150388, Information Type: guidepost, Reference: VWW 80.50
Latitude: 47.4095486, Longitude: 9.8354244, Information Type: guidepost, Reference: VWW 80.18
Latitude: 47.3945895, Longitude: 9.8306308, Information Type: guidepost, Reference: VWW 80.39
Latitude: 47.4142787, Longitude: 9.8449702, Information Type: guidepost, Reference: VWW 80.74
Latitude: 47.3934157, Longitude: 9.8296778, Information Type: guidepost, Reference: VWW 80.40
Latitude: 47.3937105, Longitude: 9.8260773, Information Type: guidepost, Reference: VWW 80.45
Latitude: 47.3981650, Longitude: 9.8140417, Information Type: guidepost, Reference: VWW 80.49
Latitude: 47.4025629, Longitude: 9.8198556, Information Type: guidepost, Reference: VWW 80.48
Latitude: 47.4031538, Longitude: 9.8319081, Information Type: guidepost, Reference: VWW 80.17
Latitude: 47.4070935, Longitude: 9.8352376, Information Type: guidepost, Reference: VWW 80.77
Latitude: 47.4107891, Longitude: 9.8350913, Information Type: guidepost, Reference: VWW 80.76
Latitude: 47.4132884, Longitude: 9.8429975, Information Type: guidepost, Reference: VWW 80.15
Latitude: 47.4140361, Longitude: 9.8517494, Information Type: guidepost, Reference: VWW 80.12
Latitude: 47.4145276, Longitude: 9.8442428, Information Type: guidepost, Reference: VWW 80.14
Latitude: 47.3996466, Longitude: 9.8189987, Information Type: guidepost, Reference: VWW 80.47
Latitude: 47.4118002, Longitude: 9.8639436, Information Type: guidepost, Reference: VWW 80.08
Latitude: 47.4091008, Longitude: 9.8737278, Information Type: guidepost, Reference: VWW 80.06
Latitude: 47.4040500, Longitude: 9.8559139, Information Type: guidepost, Reference: VWW 80.69
Latitude: 47.4050030, Longitude: 9.8575093, Information Type: guidepost, Reference: VWW 80.04
Latitude: 47.4073082, Longitude: 9.8561332, Information Type: guidepost, Reference: VWW 80.03
Latitude: 47.4123609, Longitude: 9.8538493, Information Type: guidepost, Reference: VWW 80.67
Latitude: 47.4139698, Longitude: 9.8535401, Information Type: guidepost, Reference: VWW 80.02
Latitude: 47.4386268, Longitude: 9.8529718, Information Type: guidepost, Reference: VWW 80.30
Latitude: 47.4246656, Longitude: 9.8166075, Information Type: guidepost, Reference: VWW 80.24
Latitude: 47.4322570, Longitude: 9.8295432, Information Type: guidepost, Reference: VWW 80.38
Latitude: 47.4364644, Longitude: 9.8425765, Information Type: guidepost, Reference: VWW 1.33
Latitude: 47.4394107, Longitude: 9.8519636, Information Type: guidepost, Reference: VWW 80.31
Latitude: 47.4150814, Longitude: 9.8167273, Information Type: guidepost, Reference: VWW 80.66
Latitude: 47.4196849, Longitude: 9.8132188, Information Type: guidepost, Reference: VWW 80.64
Latitude: 47.4107368, Longitude: 9.8042163, Information Type: guidepost, Reference: VWW 80.52
Latitude: 47.4245866, Longitude: 9.8161155, Information Type: guidepost, Reference: VWW 80.22
Latitude: 47.4211997, Longitude: 9.8095603, Information Type: guidepost, Reference: VWW 80.56
Latitude: 47.4193034, Longitude: 9.8149578, Information Type: guidepost, Reference: VWW 80.65
Latitude: 47.3866963, Longitude: 9.8285800, Information Type: guidepost, Reference: VWW 80.62
Latitude: 47.4142650, Longitude: 9.8563296, Information Type: guidepost, Reference: VWW 80.10
Latitude: 47.4162993, Longitude: 9.8678349, Information Type: guidepost, Reference: VWW 80.07
Latitude: 47.4085603, Longitude: 9.8655176, Information Type: guidepost, Reference: VWW 80.09
Latitude: 47.4079822, Longitude: 9.8688238, Information Type: guidepost, Reference: VWW 80.05
Latitude: 47.4056484, Longitude: 9.8506488, Information Type: guidepost, Reference: VWW 80.68
Latitude: 47.4174494, Longitude: 9.8613116, Information Type: guidepost, Reference: VWW 80.11
Latitude: 47.4149963, Longitude: 9.8470584, Information Type: guidepost, Reference: VWW 80.73
Latitude: 47.4151025, Longitude: 9.8521924, Information Type: guidepost, Reference: VWW 80.72
Latitude: 47.4138759, Longitude: 9.8522597, Information Type: guidepost, Reference: VWW 80.01
Latitude: 47.4084249, Longitude: 9.8444517, Information Type: guidepost, Reference: VWW 80.16
Latitude: 47.4140462, Longitude: 9.8314851, Information Type: guidepost, Reference: VWW 80.75
Latitude: 47.4173865, Longitude: 9.8208542, Information Type: guidepost, Reference: VWW 80.20
Latitude: 47.4207572, Longitude: 9.8182655, Information Type: guidepost, Reference: VWW 80.21
Latitude: 47.4174782, Longitude: 9.8077334, Information Type: guidepost, Reference: VWW 80.53
Latitude: 47.4093240, Longitude: 9.8062207, Information Type: guidepost, Reference: VWW 80.54
Latitude: 47.4028172, Longitude: 9.8130586, Information Type: guidepost, Reference: VWW 80.51
Latitude: 47.3946898, Longitude: 9.8245793, Information Type: guidepost, Reference: VWW 80.46
Latitude: 47.3896685, Longitude: 9.8411161, Information Type: guidepost, Reference: VWW 80.42
Latitude: 47.3902980, Longitude: 9.8382306, Information Type: guidepost, Reference: VWW 80.41
Latitude: 47.3881424, Longitude: 9.8393430, Information Type: guidepost, Reference: VWW 80.43
Latitude: 47.3919197, Longitude: 9.8299038, Information Type: guidepost, Reference: VWW 80.44
Latitude: 47.3855719, Longitude: 9.8276867, Information Type: guidepost, Reference: VWW 20.055
Latitude: 47.4182694, Longitude: 9.8505890, Information Type: guidepost, Reference: VWW 80.27
Latitude: 47.4237818, Longitude: 9.8193577, Information Type: guidepost, Reference: VWW 80.25
Latitude: 47.4229627, Longitude: 9.8091218, Information Type: guidepost, Reference: VWW 80.55
Latitude: 47.4240036, Longitude: 9.8091556, Information Type: guidepost, Reference: VWW 80.23
Latitude: 47.4264829, Longitude: 9.8327700, Information Type: guidepost, Reference: VWW 80.26
Latitude: 47.4281534, Longitude: 9.8359516, Information Type: guidepost, Reference: VWW 80.36
