Latitude: 47.4280397, Longitude: 10.0941317, Information Type: guidepost, Reference: VWW 81.15
Latitude: 47.4295903, Longitude: 10.0511596, Information Type: guidepost, Reference: VWW 81.05
Latitude: 47.4342515, Longitude: 10.0526839, Information Type: guidepost, Reference: VWW 81.07
Latitude: 47.4247848, Longitude: 10.0671815, Information Type: guidepost, Reference: VWW 81.42
Latitude: 47.4266922, Longitude: 10.0380751, Information Type: guidepost, Reference: VWW 81.41
Latitude: 47.4283943, Longitude: 10.0548682, Information Type: guidepost, Reference: VWW 81.06
Latitude: 47.4335029, Longitude: 10.0710222, Information Type: guidepost, Reference: VWW 81.08
Latitude: 47.4407104, Longitude: 10.0139588, Information Type: guidepost, Reference: VWW 81.24
Latitude: 47.4253365, Longitude: 10.0655075, Information Type: guidepost, Reference: VWW 81.09
Latitude: 47.3656778, Longitude: 10.0867265, Information Type: guidepost, Reference: VWW 23.73
Latitude: 47.4258371, Longitude: 10.0379618, Information Type: guidepost, Reference: VWW 81.04
Latitude: 47.4289750, Longitude: 10.0442091, Information Type: guidepost, Reference: VWW 81.52
Latitude: 47.4316874, Longitude: 10.0390602, Information Type: guidepost, Reference: VWW 81.51
Latitude: 47.4376670, Longitude: 10.0104576, Information Type: guidepost, Reference: VWW 81.28
Latitude: 47.4314917, Longitude: 10.0283599, Information Type: guidepost, Reference: VWW 81.27
Latitude: 47.4277396, Longitude: 10.0367103, Information Type: guidepost, Reference: VWW 81.02
Latitude: 47.4303382, Longitude: 10.0350186, Information Type: guidepost, Reference: VWW 81.03
Latitude: 47.4339608, Longitude: 10.0288102, Information Type: guidepost, Reference: VWW 81.26
Latitude: 47.4391067, Longitude: 10.0195665, Information Type: guidepost, Reference: VWW 81.21
Latitude: 47.4386483, Longitude: 10.0217386, Information Type: guidepost, Reference: VWW 81.20
Latitude: 47.4402475, Longitude: 10.0162775, Information Type: guidepost, Reference: VWW 81.22
Latitude: 47.4403968, Longitude: 10.0150109, Information Type: guidepost, Reference: VWW 81.23
Latitude: 47.4380226, Longitude: 10.0458688, Information Type: guidepost, Reference: VWW 81.19
Latitude: 47.4327465, Longitude: 10.0782464, Information Type: guidepost, Reference: VWW 81.44
Latitude: 47.4343148, Longitude: 10.0784000, Information Type: guidepost, Reference: VWW 81.17
Latitude: 47.4360604, Longitude: 10.0750617, Information Type: guidepost, Reference: VWW 81.18
Latitude: 47.4264465, Longitude: 10.0914612, Information Type: guidepost, Reference: VWW 81.14
Latitude: 47.4289067, Longitude: 10.0833151, Information Type: guidepost, Reference: VWW 81.16
Latitude: 47.4193058, Longitude: 10.0536628, Information Type: guidepost, Reference: VWW 81.43
Latitude: 47.4198979, Longitude: 10.0905097, Information Type: guidepost, Reference: VWW 81.13
Latitude: 47.4165299, Longitude: 10.0620446, Information Type: guidepost, Reference: VWW 81.12
Latitude: 47.4181755, Longitude: 10.0569585, Information Type: guidepost, Reference: VWW 81.11
Latitude: 47.4267951, Longitude: 10.0375228, Information Type: guidepost, Reference: VWW 81.01
Latitude: 47.4190095, Longitude: 10.0407174, Information Type: guidepost, Reference: VWW 81.29
Latitude: 47.4183567, Longitude: 10.0408945, Information Type: guidepost, Reference: VWW 81.45
Latitude: 47.4092687, Longitude: 10.0438622, Information Type: guidepost, Reference: VWW 81.30
Latitude: 47.4142234, Longitude: 10.0437284, Information Type: guidepost, Reference: VWW 81.32
Latitude: 47.3879274, Longitude: 10.0644903, Information Type: guidepost, Reference: VWW 81.36
Latitude: 47.3814866, Longitude: 10.0733894, Information Type: guidepost, Reference: VWW 81.37
Latitude: 47.4063333, Longitude: 10.0448022, Information Type: guidepost, Reference: VWW 81.31
Latitude: 47.4402849, Longitude: 10.0752830, Information Type: guidepost, Reference: VWW 81.47
Latitude: 47.3880739, Longitude: 10.0852583, Information Type: guidepost, Reference: VWW 81.40
Latitude: 47.3999677, Longitude: 10.0736875, Information Type: guidepost, Reference: VWW 81.35
Latitude: 47.4405219, Longitude: 10.0091158, Information Type: guidepost, Reference: VWW 81.25
