Latitude: 47.2875324, Longitude: 9.6566921, Information Type: guidepost, Reference: VWW 85.03
Latitude: 47.2873785, Longitude: 9.6560670, Information Type: guidepost, Reference: VWW 85.02
Latitude: 47.2910939, Longitude: 9.6404879, Information Type: guidepost, Reference: VWW 85.18
Latitude: 47.2929881, Longitude: 9.6364259, Information Type: guidepost, Reference: VWW 85.19
Latitude: 47.2850318, Longitude: 9.6426476, Information Type: guidepost, Reference: VWW 85.12
Latitude: 47.2887088, Longitude: 9.6349200, Information Type: guidepost, Reference: VWW 85.24
Latitude: 47.2892074, Longitude: 9.6319975, Information Type: guidepost, Reference: VWW 85.25
Latitude: 47.2937670, Longitude: 9.6336591, Information Type: guidepost, Reference: VWW 85.22
Latitude: 47.2921277, Longitude: 9.6498172, Information Type: guidepost, Reference: VWW 85.17
Latitude: 47.2939259, Longitude: 9.6358218, Information Type: guidepost, Reference: VWW 85.20
Latitude: 47.2877895, Longitude: 9.6355670, Information Type: guidepost, Reference: VWW 85.23
Latitude: 47.2834931, Longitude: 9.6466580, Information Type: guidepost, Reference: VWW 85.10
Latitude: 47.2865405, Longitude: 9.6426121, Information Type: guidepost, Reference: VWW 85.14
Latitude: 47.2889911, Longitude: 9.6451780, Information Type: guidepost, Reference: VWW 85.15
Latitude: 47.2867990, Longitude: 9.6519553, Information Type: guidepost, Reference: VWW 85.01
Latitude: 47.2886289, Longitude: 9.6605790, Information Type: guidepost, Reference: VWW 85.04
Latitude: 47.2842513, Longitude: 9.6552222, Information Type: guidepost, Reference: VWW 85.07
Latitude: 47.2855396, Longitude: 9.6427150, Information Type: guidepost, Reference: VWW 85.11
Latitude: 47.2818779, Longitude: 9.6510184, Information Type: guidepost, Reference: VWW 85.09
Latitude: 47.2907423, Longitude: 9.6659228, Information Type: guidepost, Reference: VWW 85.05
Latitude: 47.2840764, Longitude: 9.6564567, Information Type: guidepost, Reference: VWW 85.06
Latitude: 47.2843365, Longitude: 9.6535093, Information Type: guidepost, Reference: VWW 85.08
Latitude: 47.2857462, Longitude: 9.6585499, Information Type: guidepost, Reference: VWW 85.16
Latitude: 47.2863904, Longitude: 9.6571308, Information Type: guidepost, Reference: VWW 85.21
Latitude: 47.2880772, Longitude: 9.6614061, Information Type: guidepost, Reference: VWW 85.13
