Latitude: 47.5292887, Longitude: 9.9277172, Information Type: guidepost, Reference: VWW 86.15
Latitude: 47.5306963, Longitude: 9.9289557, Information Type: guidepost, Reference: VWW 86.16
Latitude: 47.5370106, Longitude: 9.8827164, Information Type: guidepost, Reference: VWW 86.56
Latitude: 47.5329408, Longitude: 9.8785554, Information Type: guidepost, Reference: VWW 86.57
Latitude: 47.5178124, Longitude: 9.9304823, Information Type: guidepost, Reference: VWW 86.41
Latitude: 47.5175858, Longitude: 9.9492875, Information Type: guidepost, Reference: VWW 86.42
Latitude: 47.5305725, Longitude: 9.9640439, Information Type: guidepost, Reference: VWW 86.22
Latitude: 47.5295918, Longitude: 9.9637489, Information Type: guidepost, Reference: VWW 86.23
Latitude: 47.5257472, Longitude: 9.9463288, Information Type: guidepost, Reference: VWW 86.24
Latitude: 47.5222378, Longitude: 9.9246490, Information Type: guidepost, Reference: VWW 86.25
Latitude: 47.5346714, Longitude: 9.9637996, Information Type: guidepost, Reference: VWW 86.46
Latitude: 47.5338265, Longitude: 9.9504667, Information Type: guidepost, Reference: VWW 86.21
Latitude: 47.5323253, Longitude: 9.9324369, Information Type: guidepost, Reference: VWW 86.17
Latitude: 47.5357563, Longitude: 9.9387969, Information Type: guidepost, Reference: VWW 86.19
Latitude: 47.5352791, Longitude: 9.9382102, Information Type: guidepost, Reference: VWW 86.18
Latitude: 47.5325198, Longitude: 9.9386756, Information Type: guidepost, Reference: VWW 86.20
Latitude: 47.5266122, Longitude: 9.9244341, Information Type: guidepost, Reference: VWW 86.14
Latitude: 47.5216315, Longitude: 9.9145593, Information Type: guidepost, Reference: VWW 86.12
Latitude: 47.5210359, Longitude: 9.9126664, Information Type: guidepost, Reference: VWW 86.44
Latitude: 47.5209393, Longitude: 9.9126868, Information Type: guidepost, Reference: VWW 86.01
Latitude: 47.5090563, Longitude: 9.9102658, Information Type: guidepost, Reference: VWW 86.40
Latitude: 47.5142881, Longitude: 9.9023011, Information Type: guidepost, Reference: VWW 86.04
Latitude: 47.5176144, Longitude: 9.9084408, Information Type: guidepost, Reference: VWW 86.03
Latitude: 47.5172540, Longitude: 9.8989090, Information Type: guidepost, Reference: VWW 86.05
Latitude: 47.5172452, Longitude: 9.8983793, Information Type: guidepost, Reference: VWW 86.11
Latitude: 47.5129816, Longitude: 9.8957187, Information Type: guidepost, Reference: VWW 86.06
Latitude: 47.5093840, Longitude: 9.8911825, Information Type: guidepost, Reference: VWW 86.08
Latitude: 47.5126832, Longitude: 9.8952402, Information Type: guidepost, Reference: VWW 86.07
Latitude: 47.5165551, Longitude: 9.8928759, Information Type: guidepost, Reference: VWW 86.10
Latitude: 47.5115791, Longitude: 9.8929402, Information Type: guidepost, Reference: VWW 86.09
Latitude: 47.5218390, Longitude: 9.8898026, Information Type: guidepost, Reference: VWW 86.37
Latitude: 47.5211011, Longitude: 9.8848596, Information Type: guidepost, Reference: VWW 86.36
Latitude: 47.5197636, Longitude: 9.8844220, Information Type: guidepost, Reference: VWW 86.35
Latitude: 47.5242499, Longitude: 9.8785336, Information Type: guidepost, Reference: VWW 86.34
Latitude: 47.5206497, Longitude: 9.9095137, Information Type: guidepost, Reference: VWW 86.45
Latitude: 47.5203422, Longitude: 9.9068119, Information Type: guidepost, Reference: VWW 86.39
Latitude: 47.5209551, Longitude: 9.9122752, Information Type: guidepost, Reference: VWW 86.02
Latitude: 47.5214758, Longitude: 9.9018778, Information Type: guidepost, Reference: VWW 86.38
Latitude: 47.5244570, Longitude: 9.9028409, Information Type: guidepost, Reference: VWW 86.26
Latitude: 47.5336848, Longitude: 9.8971150, Information Type: guidepost, Reference: VWW 86.27
Latitude: 47.5327962, Longitude: 9.8781659, Information Type: guidepost, Reference: VWW 86.31
Latitude: 47.5377212, Longitude: 9.8833548, Information Type: guidepost, Reference: VWW 86.28
Latitude: 47.5381085, Longitude: 9.8836218, Information Type: guidepost, Reference: VWW 86.29
Latitude: 47.5427039, Longitude: 9.8777743, Information Type: guidepost, Reference: VWW 86.30
Latitude: 47.5281379, Longitude: 9.8744203, Information Type: guidepost, Reference: VWW 86.32
Latitude: 47.5271803, Longitude: 9.8739135, Information Type: guidepost, Reference: VWW 86.33
Latitude: 47.5235825, Longitude: 9.9150850, Information Type: guidepost, Reference: VWW 86.55
Latitude: 47.5220550, Longitude: 9.9151141, Information Type: guidepost, Reference: VWW 86.13
Latitude: 47.5232644, Longitude: 9.9643616, Information Type: guidepost, Reference: VWW 86.43
Latitude: 47.5311087, Longitude: 9.9654179, Information Type: guidepost, Reference: VWW 86.47
Latitude: 47.5410557, Longitude: 9.9628763, Information Type: guidepost, Reference: VWW 86.48
Latitude: 47.5446496, Longitude: 9.8874794, Information Type: guidepost, Reference: VWW 86.58
Latitude: 47.5424828, Longitude: 9.8790271, Information Type: guidepost, Reference: VWW 86.59
