Latitude: 47.2043123, Longitude: 9.7636615, Information Type: guidepost, Reference: VWW 87.05
Latitude: 47.2008161, Longitude: 9.7661934, Information Type: guidepost, Reference: VWW 87.21
Latitude: 47.2022600, Longitude: 9.7667822, Information Type: guidepost, Reference: VWW 87.04
Latitude: 47.2057030, Longitude: 9.7784212, Information Type: guidepost, Reference: VWW 87.10
Latitude: 47.2024833, Longitude: 9.7568167, Information Type: guidepost, Reference: VWW 87.01
Latitude: 47.1983728, Longitude: 9.7759009, Information Type: guidepost, Reference: VWW 87.19
Latitude: 47.1943631, Longitude: 9.7696505, Information Type: guidepost, Reference: VWW 87.23
Latitude: 47.1902839, Longitude: 9.7614919, Information Type: guidepost, Reference: VWW 87.25
Latitude: 47.1970128, Longitude: 9.7659875, Information Type: guidepost, Reference: VWW 87.22
Latitude: 47.1949879, Longitude: 9.7473677, Information Type: guidepost, Reference: VWW 11.26
Latitude: 47.1984943, Longitude: 9.7711187, Information Type: guidepost, Reference: VWW 87.31
Latitude: 47.2003651, Longitude: 9.7657031, Information Type: guidepost, Reference: VWW 87.03
Latitude: 47.1981236, Longitude: 9.7660964, Information Type: guidepost, Reference: VWW 87.20
Latitude: 47.2040019, Longitude: 9.7674296, Information Type: guidepost, Reference: VWW 87.07
Latitude: 47.2051037, Longitude: 9.7651610, Information Type: guidepost, Reference: VWW 87.06
Latitude: 47.2052455, Longitude: 9.7688810, Information Type: guidepost, Reference: VWW 87.08
Latitude: 47.2017543, Longitude: 9.7655122, Information Type: guidepost, Reference: VWW 87.02
Latitude: 47.2015350, Longitude: 9.7639567, Information Type: guidepost, Reference: VWW 87.13
Latitude: 47.2027580, Longitude: 9.7557320, Information Type: guidepost, Reference: VWW 11.08
Latitude: 47.2105081, Longitude: 9.7789896, Information Type: guidepost, Reference: VWW 87.11
Latitude: 47.2107342, Longitude: 9.7736926, Information Type: guidepost, Reference: VWW 87.09
Latitude: 47.2078127, Longitude: 9.7585729, Information Type: guidepost, Reference: VWW 87.14
Latitude: 47.2061719, Longitude: 9.7629771, Information Type: guidepost, Reference: VWW 87.12
