Latitude: 47.2161192, Longitude: 9.8000844, Information Type: guidepost, Reference: VWW 88.33
Latitude: 47.2127550, Longitude: 9.8041959, Information Type: guidepost, Reference: VWW 88.92
Latitude: 47.2006603, Longitude: 9.7796293, Information Type: guidepost, Reference: VWW 88.48
Latitude: 47.2017217, Longitude: 9.7804746, Information Type: guidepost, Reference: VWW 88.38
Latitude: 47.2165856, Longitude: 9.7966585, Information Type: guidepost, Reference: VWW 88.32
Latitude: 47.2221881, Longitude: 9.7774489, Information Type: guidepost, Reference: VWW 88.50
Latitude: 47.2232164, Longitude: 9.7713607, Information Type: guidepost, Reference: VWW 88.23
Latitude: 47.2249622, Longitude: 9.7740237, Information Type: guidepost, Reference: VWW 88.49
Latitude: 47.2217585, Longitude: 9.7676133, Information Type: guidepost, Reference: VWW 88.15
Latitude: 47.2149714, Longitude: 9.7749295, Information Type: guidepost, Reference: VWW 88.03
Latitude: 47.2149655, Longitude: 9.7821068, Information Type: guidepost, Reference: VWW 88.47
Latitude: 47.2315300, Longitude: 9.7598729, Information Type: guidepost, Reference: VWW 88.20
Latitude: 47.2287116, Longitude: 9.7888402, Information Type: guidepost, Reference: VWW 88.44
Latitude: 47.2385325, Longitude: 9.7784750, Information Type: guidepost, Reference: VWW 88.45
Latitude: 47.2284142, Longitude: 9.7630761, Information Type: guidepost, Reference: VWW 88.19
Latitude: 47.2269395, Longitude: 9.7697889, Information Type: guidepost, Reference: VWW 88.22
Latitude: 47.2249407, Longitude: 9.7720858, Information Type: guidepost, Reference: VWW 88.21
Latitude: 47.2198504, Longitude: 9.7567179, Information Type: guidepost, Reference: VWW 88.08
Latitude: 47.2223814, Longitude: 9.7537970, Information Type: guidepost, Reference: VWW 88.11
Latitude: 47.2221377, Longitude: 9.7598929, Information Type: guidepost, Reference: VWW 88.10
Latitude: 47.2185256, Longitude: 9.7629119, Information Type: guidepost, Reference: VWW 88.17
Latitude: 47.2174596, Longitude: 9.7614053, Information Type: guidepost, Reference: VWW 88.07
Latitude: 47.2152733, Longitude: 9.7623808, Information Type: guidepost, Reference: VWW 88.18
Latitude: 47.2164347, Longitude: 9.7525159, Information Type: guidepost, Reference: VWW 88.01
Latitude: 47.2151562, Longitude: 9.7706323, Information Type: guidepost, Reference: VWW 88.02
Latitude: 47.2134430, Longitude: 9.7717209, Information Type: guidepost, Reference: VWW 88.06
Latitude: 47.2258963, Longitude: 9.7911367, Information Type: guidepost, Reference: VWW 88.43
Latitude: 47.2221950, Longitude: 9.7866738, Information Type: guidepost, Reference: VWW 88.46
Latitude: 47.2133861, Longitude: 9.7866327, Information Type: guidepost, Reference: VWW 88.30
Latitude: 47.2137593, Longitude: 9.7870095, Information Type: guidepost, Reference: VWW 88.39
Latitude: 47.2155121, Longitude: 9.7927797, Information Type: guidepost, Reference: VWW 88.31
Latitude: 47.2057423, Longitude: 9.7862910, Information Type: guidepost, Reference: VWW 88.91
Latitude: 47.2107439, Longitude: 9.7856503, Information Type: guidepost, Reference: VWW 88.36
Latitude: 47.2120199, Longitude: 9.7838383, Information Type: guidepost, Reference: VWW 88.35
Latitude: 47.2156676, Longitude: 9.7857118, Information Type: guidepost, Reference: VWW 88.42
Latitude: 47.2154081, Longitude: 9.7838431, Information Type: guidepost, Reference: VWW 88.41
Latitude: 47.2143319, Longitude: 9.7804506, Information Type: guidepost, Reference: VWW 88.16
Latitude: 47.2149430, Longitude: 9.7815014, Information Type: guidepost, Reference: VWW 88.05
Latitude: 47.2147718, Longitude: 9.7793138, Information Type: guidepost, Reference: VWW 88.04
Latitude: 47.2035333, Longitude: 9.7794853, Information Type: guidepost, Reference: VWW 88.37
Latitude: 47.2057049, Longitude: 9.7798440, Information Type: guidepost, Reference: VWW 88.14
Latitude: 47.2340322, Longitude: 9.7557877, Information Type: guidepost, Reference: VWW 88.13
Latitude: 47.2247879, Longitude: 9.7560410, Information Type: guidepost, Reference: VWW 88.12
