Latitude: 47.0420126, Longitude: 9.8765081, Information Type: guidepost, Reference: VWW 89.309
Latitude: 47.0319320, Longitude: 9.8750316, Information Type: guidepost, Reference: VWW 89.310
Latitude: 47.0365959, Longitude: 9.8404711, Information Type: guidepost, Reference: VWW 89.201
Latitude: 47.0346221, Longitude: 9.8374309, Information Type: guidepost, Reference: VWW 89.208
Latitude: 47.0506815, Longitude: 9.8336035, Information Type: guidepost, Reference: VWW 89.160
Latitude: 47.0371014, Longitude: 9.8357411, Information Type: guidepost, Reference: VWW 89.211
Latitude: 47.0573238, Longitude: 9.8650411, Information Type: guidepost, Reference: VWW 89.095
Latitude: 47.0575860, Longitude: 9.8652723, Information Type: guidepost, Reference: VWW 89.092
Latitude: 47.0562594, Longitude: 9.8199009, Information Type: guidepost, Reference: VWW 89.164
Latitude: 47.0320896, Longitude: 9.8506715, Information Type: guidepost, Reference: VWW 89.209
Latitude: 47.0350314, Longitude: 9.8339371, Information Type: guidepost, Reference: VWW 89.203
Latitude: 47.0525262, Longitude: 9.8158605, Information Type: guidepost, Reference: VWW 89.163
Latitude: 47.0328634, Longitude: 9.8587969, Information Type: guidepost, Reference: VWW 89.210
Latitude: 47.0673042, Longitude: 9.8739633, Information Type: guidepost, Reference: VWW 89.116
Latitude: 47.0654131, Longitude: 9.8712970, Information Type: guidepost, Reference: VWW 89.105
Latitude: 47.0627655, Longitude: 9.8690056, Information Type: guidepost, Reference: VWW 89.107
Latitude: 47.0615051, Longitude: 9.8718120, Information Type: guidepost, Reference: VWW 89.108
Latitude: 47.0608692, Longitude: 9.8701220, Information Type: guidepost, Reference: VWW 89.104
Latitude: 47.0369717, Longitude: 9.8043117, Information Type: guidepost, Reference: VWW 89.214
Latitude: 47.0359588, Longitude: 9.8391573, Information Type: guidepost, Reference: VWW 89.202
Latitude: 47.0638948, Longitude: 9.8443818, Information Type: guidepost, Reference: VWW 89.153
Latitude: 47.0643206, Longitude: 9.8448434, Information Type: guidepost, Reference: VWW 89.150
Latitude: 47.0547342, Longitude: 9.8158894, Information Type: guidepost, Reference: VWW 89.162
Latitude: 47.0158156, Longitude: 9.8444926, Information Type: guidepost, Reference: VWW 89.322
Latitude: 47.0245766, Longitude: 9.8725152, Information Type: guidepost, Reference: VWW 89.313
Latitude: 47.0214229, Longitude: 9.8786670, Information Type: guidepost, Reference: VWW 89.314
