Latitude: 47.0795748, Longitude: 9.8763784, Information Type: guidepost, Reference: VWW 89.030
Latitude: 47.0594404, Longitude: 9.7518006, Information Type: guidepost, Reference: VWW 91.101
Latitude: 47.0653077, Longitude: 9.7764718, Information Type: guidepost, Reference: VWW 91.132
Latitude: 47.0545069, Longitude: 9.7633258, Information Type: guidepost, Reference: VWW 91.106
Latitude: 47.0603635, Longitude: 9.7725439, Information Type: guidepost, Reference: VWW 91.125
Latitude: 47.0576991, Longitude: 9.7626241, Information Type: guidepost, Reference: VWW 91.107
Latitude: 47.0750992, Longitude: 9.7982853, Information Type: guidepost, Reference: VWW 91.140
Latitude: 47.0709739, Longitude: 9.7919405, Information Type: guidepost, Reference: VWW 91.127
Latitude: 47.0487644, Longitude: 9.7994345, Information Type: guidepost, Reference: VWW 91.146
Latitude: 47.0543442, Longitude: 9.8033549, Information Type: guidepost, Reference: VWW 91.144
Latitude: 47.0717300, Longitude: 9.7978780, Information Type: guidepost, Reference: VWW 91.152
Latitude: 47.0744272, Longitude: 9.7983453, Information Type: guidepost, Reference: VWW 91.141
Latitude: 47.0423340, Longitude: 9.7735888, Information Type: guidepost, Reference: VWW 91.149
Latitude: 47.0841097, Longitude: 9.8426953, Information Type: guidepost, Reference: VWW 91.063
Latitude: 47.0772706, Longitude: 9.7767684, Information Type: guidepost, Reference: VWW 91.130
Latitude: 47.0506828, Longitude: 9.7114509, Information Type: guidepost, Reference: VWW 91.113
Latitude: 47.0504955, Longitude: 9.7148913, Information Type: guidepost, Reference: VWW 91.112
Latitude: 47.0442196, Longitude: 9.7284096, Information Type: guidepost, Reference: VWW 91.117
Latitude: 47.0532867, Longitude: 9.7454832, Information Type: guidepost, Reference: VWW 91.102
Latitude: 47.0737633, Longitude: 9.7737880, Information Type: guidepost, Reference: VWW 91.134
Latitude: 47.0727922, Longitude: 9.7669407, Information Type: guidepost, Reference: VWW 91.135
Latitude: 47.0603375, Longitude: 9.7597346, Information Type: guidepost, Reference: VWW 91.108
Latitude: 47.0696496, Longitude: 9.7778696, Information Type: guidepost, Reference: VWW 91.133
Latitude: 47.0399463, Longitude: 9.7847072, Information Type: guidepost, Reference: VWW 91.147
Latitude: 47.0446560, Longitude: 9.7554834, Information Type: guidepost, Reference: VWW 91.120
Latitude: 47.0427736, Longitude: 9.7554672, Information Type: guidepost, Reference: VWW 91.121
Latitude: 47.0497568, Longitude: 9.7391081, Information Type: guidepost, Reference: VWW 91.103
Latitude: 47.0443591, Longitude: 9.7271172, Information Type: guidepost, Reference: VWW 91.119
Latitude: 47.0489770, Longitude: 9.7180710, Information Type: guidepost, Reference: VWW 91.115
Latitude: 47.0973434, Longitude: 9.8670016, Information Type: guidepost, Reference: VWW 91.008
Latitude: 47.0592979, Longitude: 9.7540592, Information Type: guidepost, Reference: VWW 91.100
Latitude: 47.0526801, Longitude: 9.7299589, Information Type: guidepost, Reference: VWW 91.114
Latitude: 47.0475668, Longitude: 9.7428681, Information Type: guidepost, Reference: VWW 91.116
Latitude: 47.0819978, Longitude: 9.8621771, Information Type: guidepost, Reference: VWW 91.058
Latitude: 47.0569207, Longitude: 9.7687722, Information Type: guidepost, Reference: VWW 91.128
Latitude: 47.0843013, Longitude: 9.7854267, Information Type: guidepost, Reference: VWW 91.129
Latitude: 47.0795265, Longitude: 9.8735569, Information Type: guidepost, Reference: VWW 91.054
Latitude: 47.0820374, Longitude: 9.8713998, Information Type: guidepost, Reference: VWW 91.053
Latitude: 47.0811346, Longitude: 9.8554862, Information Type: guidepost, Reference: VWW 91.065
Latitude: 47.0820861, Longitude: 9.8591340, Information Type: guidepost, Reference: VWW 91.055
Latitude: 47.0876582, Longitude: 9.8501803, Information Type: guidepost, Reference: VWW 91.061
Latitude: 47.0978979, Longitude: 9.8568405, Information Type: guidepost, Reference: VWW 91.018
Latitude: 47.0996957, Longitude: 9.8519037, Information Type: guidepost, Reference: VWW 91.019
Latitude: 47.1005745, Longitude: 9.8512909, Information Type: guidepost, Reference: VWW 91.020
Latitude: 47.1015811, Longitude: 9.8490412, Information Type: guidepost, Reference: VWW 91.021
Latitude: 47.0904655, Longitude: 9.8528011, Information Type: guidepost, Reference: VWW 91.060
Latitude: 47.0904234, Longitude: 9.8561375, Information Type: guidepost, Reference: VWW 91.013
Latitude: 47.0900917, Longitude: 9.8639524, Information Type: guidepost, Reference: VWW 91.045
Latitude: 47.0731795, Longitude: 9.8484538, Information Type: guidepost, Reference: VWW 91.084
Latitude: 47.0713712, Longitude: 9.8473068, Information Type: guidepost, Reference: VWW 89.158
Latitude: 47.0672467, Longitude: 9.8288194, Information Type: guidepost, Reference: VWW 89.168
Latitude: 47.0851015, Longitude: 9.8872470, Information Type: guidepost, Reference: VWW 91.039
Latitude: 47.0885746, Longitude: 9.8805309, Information Type: guidepost, Reference: VWW 91.038
Latitude: 47.0848488, Longitude: 9.8847832, Information Type: guidepost, Reference: VWW 91.040
Latitude: 47.0912745, Longitude: 9.8749088, Information Type: guidepost, Reference: VWW 91.037
Latitude: 47.0898645, Longitude: 9.8697721, Information Type: guidepost, Reference: VWW 91.042
Latitude: 47.0856751, Longitude: 9.8657025, Information Type: guidepost, Reference: VWW 91.048
Latitude: 47.0862622, Longitude: 9.8678388, Information Type: guidepost, Reference: VWW 91.050
Latitude: 47.0848722, Longitude: 9.8681542, Information Type: guidepost, Reference: VWW 91.051
Latitude: 47.0831713, Longitude: 9.8660007, Information Type: guidepost, Reference: VWW 91.092
Latitude: 47.0835796, Longitude: 9.8673092, Information Type: guidepost, Reference: VWW 91.052
Latitude: 47.0772468, Longitude: 9.8725019, Information Type: guidepost, Reference: VWW 89.029
Latitude: 47.0899970, Longitude: 9.8694031, Information Type: guidepost, Reference: VWW 91.043
Latitude: 47.0904890, Longitude: 9.8686098, Information Type: guidepost, Reference: VWW 91.044
Latitude: 47.0911690, Longitude: 9.8636024, Information Type: guidepost, Reference: VWW 91.046
Latitude: 47.0946755, Longitude: 9.8636149, Information Type: guidepost, Reference: VWW 91.025
Latitude: 47.0955674, Longitude: 9.8653448, Information Type: guidepost, Reference: VWW 91.010
Latitude: 47.0971327, Longitude: 9.8637276, Information Type: guidepost, Reference: VWW 91.012
Latitude: 47.0945809, Longitude: 9.8612706, Information Type: guidepost, Reference: VWW 91.026
Latitude: 47.0915693, Longitude: 9.8569251, Information Type: guidepost, Reference: VWW 91.014
Latitude: 47.0963904, Longitude: 9.8646600, Information Type: guidepost, Reference: VWW 91.009
Latitude: 47.0969989, Longitude: 9.8638384, Information Type: guidepost, Reference: VWW 91.011
