Latitude: 47.3111019, Longitude: 9.6809839, Information Type: guidepost, Reference: VWW 92.24
Latitude: 47.3110376, Longitude: 9.6808392, Information Type: guidepost, Reference: VWW 92.20
Latitude: 47.3100505, Longitude: 9.6752584, Information Type: guidepost, Reference: VWW 92.21
Latitude: 47.3016524, Longitude: 9.6888535, Information Type: guidepost, Reference: VWW 92.51
Latitude: 47.3005510, Longitude: 9.6829853, Information Type: guidepost, Reference: VWW 92.31
Latitude: 47.2998328, Longitude: 9.6800994, Information Type: guidepost, Reference: VWW 92.07
Latitude: 47.3015147, Longitude: 9.6765817, Information Type: guidepost, Reference: VWW 92.08
Latitude: 47.3022806, Longitude: 9.6766898, Information Type: guidepost, Reference: VWW 92.10
Latitude: 47.3066140, Longitude: 9.6765938, Information Type: guidepost, Reference: VWW 92.19
Latitude: 47.2993961, Longitude: 9.6782224, Information Type: guidepost, Reference: VWW 92.04
Latitude: 47.2997557, Longitude: 9.6692402, Information Type: guidepost, Reference: VWW 92.02
Latitude: 47.2984458, Longitude: 9.6711358, Information Type: guidepost, Reference: VWW 92.17
Latitude: 47.2998626, Longitude: 9.6812418, Information Type: guidepost, Reference: VWW 92.30
Latitude: 47.3011255, Longitude: 9.6735034, Information Type: guidepost, Reference: VWW 92.06
Latitude: 47.3083941, Longitude: 9.7038618, Information Type: guidepost, Reference: VWW 92.45
Latitude: 47.3014396, Longitude: 9.6798319, Information Type: guidepost, Reference: VWW 92.26
Latitude: 47.3141723, Longitude: 9.7044535, Information Type: guidepost, Reference: VWW 92.38
Latitude: 47.3142542, Longitude: 9.7000398, Information Type: guidepost, Reference: VWW 92.37
Latitude: 47.3131810, Longitude: 9.7383527, Information Type: guidepost, Reference: VWW 92.59
Latitude: 47.3060243, Longitude: 9.7527270, Information Type: guidepost, Reference: VWW 92.61
Latitude: 47.3050762, Longitude: 9.7262742, Information Type: guidepost, Reference: VWW 92.54
Latitude: 47.3042305, Longitude: 9.6891083, Information Type: guidepost, Reference: VWW 92.32
Latitude: 47.2984728, Longitude: 9.6723086, Information Type: guidepost, Reference: VWW 92.03
Latitude: 47.3011867, Longitude: 9.6716872, Information Type: guidepost, Reference: VWW 92.22
Latitude: 47.3003718, Longitude: 9.6746395, Information Type: guidepost, Reference: VWW 92.05
Latitude: 47.2969188, Longitude: 9.7456161, Information Type: guidepost, Reference: VWW 92.60
Latitude: 47.2946693, Longitude: 9.7496644, Information Type: guidepost, Reference: VWW 92.62
Latitude: 47.3060201, Longitude: 9.6919616, Information Type: guidepost, Reference: VWW 92.33
Latitude: 47.3112014, Longitude: 9.7151533, Information Type: guidepost, Reference: VWW 92.48
Latitude: 47.3181323, Longitude: 9.7323815, Information Type: guidepost, Reference: VWW 92.56
Latitude: 47.3182584, Longitude: 9.7317856, Information Type: guidepost, Reference: VWW 92.55
Latitude: 47.3144075, Longitude: 9.7460630, Information Type: guidepost, Reference: VWW 20.213
Latitude: 47.3225552, Longitude: 9.7390741, Information Type: guidepost, Reference: VWW 92.58
Latitude: 47.3162435, Longitude: 9.7167087, Information Type: guidepost, Reference: VWW 92.47
Latitude: 47.3121609, Longitude: 9.7074942, Information Type: guidepost, Reference: VWW 92.46
Latitude: 47.3117011, Longitude: 9.6993442, Information Type: guidepost, Reference: VWW 92.35
Latitude: 47.3096022, Longitude: 9.6906925, Information Type: guidepost, Reference: VWW 92.23
Latitude: 47.3056336, Longitude: 9.6806881, Information Type: guidepost, Reference: VWW 92.15
Latitude: 47.3034505, Longitude: 9.6786465, Information Type: guidepost, Reference: VWW 92.14
Latitude: 47.3046305, Longitude: 9.6813560, Information Type: guidepost, Reference: VWW 92.16
Latitude: 47.3016285, Longitude: 9.6791065, Information Type: guidepost, Reference: VWW 92.13
Latitude: 47.3039609, Longitude: 9.6778380, Information Type: guidepost, Reference: VWW 92.11
Latitude: 47.3026272, Longitude: 9.6779908, Information Type: guidepost, Reference: VWW 92.12
Latitude: 47.3050113, Longitude: 9.6756486, Information Type: guidepost, Reference: VWW 92.18
Latitude: 47.3165768, Longitude: 9.7054949, Information Type: guidepost, Reference: VWW 28.26
Latitude: 47.3115647, Longitude: 9.6937427, Information Type: guidepost, Reference: VWW 92.36
Latitude: 47.3064549, Longitude: 9.6816567, Information Type: guidepost, Reference: VWW 92.25
