Latitude: 47.2961032, Longitude: 9.6569893, Information Type: guidepost, Reference: VWW 94.38
Latitude: 47.3005178, Longitude: 9.6561981, Information Type: guidepost, Reference: VWW 94.30
Latitude: 47.3009406, Longitude: 9.6584623, Information Type: guidepost, Reference: VWW 94.33
Latitude: 47.2973003, Longitude: 9.6581864, Information Type: guidepost, Reference: VWW 94.37
Latitude: 47.3016887, Longitude: 9.6540679, Information Type: guidepost, Reference: VWW 94.31
Latitude: 47.3039549, Longitude: 9.6555794, Information Type: guidepost, Reference: VWW 94.03
Latitude: 47.3026740, Longitude: 9.6585574, Information Type: guidepost, Reference: VWW 94.35
Latitude: 47.3038327, Longitude: 9.6502245, Information Type: guidepost, Reference: VWW 94.05
Latitude: 47.2990254, Longitude: 9.6407480, Information Type: guidepost, Reference: VWW 68.08
Latitude: 47.3047704, Longitude: 9.6558532, Information Type: guidepost, Reference: VWW 94.02
Latitude: 47.3049935, Longitude: 9.6560019, Information Type: guidepost, Reference: VWW 94.01
Latitude: 47.3066700, Longitude: 9.6608364, Information Type: guidepost, Reference: VWW 94.15
Latitude: 47.3029607, Longitude: 9.6644372, Information Type: guidepost, Reference: VWW 94.36
Latitude: 47.3127855, Longitude: 9.6582405, Information Type: guidepost, Reference: VWW 94.18
Latitude: 47.2988323, Longitude: 9.6433966, Information Type: guidepost, Reference: VWW 94.07
Latitude: 47.3153913, Longitude: 9.6638059, Information Type: guidepost, Reference: VWW 94.19
Latitude: 47.3037032, Longitude: 9.6531084, Information Type: guidepost, Reference: VWW 94.04
Latitude: 47.3086431, Longitude: 9.6628609, Information Type: guidepost, Reference: VWW 94.16
Latitude: 47.3140941, Longitude: 9.6648195, Information Type: guidepost, Reference: VWW 94.23
Latitude: 47.3128706, Longitude: 9.6650257, Information Type: guidepost, Reference: VWW 94.22
Latitude: 47.3130581, Longitude: 9.6640059, Information Type: guidepost, Reference: VWW 94.21
Latitude: 47.3136344, Longitude: 9.6635572, Information Type: guidepost, Reference: VWW 94.20
Latitude: 47.3120253, Longitude: 9.6581319, Information Type: guidepost, Reference: VWW 94.18
