Latitude: 47.2860041, Longitude: 9.6731136, Information Type: guidepost, Reference: VWW 96.47
Latitude: 47.2838151, Longitude: 9.6571652, Information Type: guidepost, Reference: VWW 96.27
Latitude: 47.2855177, Longitude: 9.6593501, Information Type: guidepost, Reference: VWW 96.90
Latitude: 47.2877189, Longitude: 9.6621384, Information Type: guidepost, Reference: VWW 96.12
Latitude: 47.2832386, Longitude: 9.6589218, Information Type: guidepost, Reference: VWW 96.68
Latitude: 47.2837299, Longitude: 9.6622145, Information Type: guidepost, Reference: VWW 96.11
Latitude: 47.2849022, Longitude: 9.6632869, Information Type: guidepost, Reference: VWW 96.15
Latitude: 47.2865517, Longitude: 9.6649832, Information Type: guidepost, Reference: VWW 96.14
Latitude: 47.2869725, Longitude: 9.6715750, Information Type: guidepost, Reference: VWW 96.34
Latitude: 47.2715183, Longitude: 9.6789061, Information Type: guidepost, Reference: VWW 96.21
Latitude: 47.2838317, Longitude: 9.6911689, Information Type: guidepost, Reference: VWW 96.97
Latitude: 47.2737680, Longitude: 9.6710367, Information Type: guidepost, Reference: VWW 96.02
Latitude: 47.2821559, Longitude: 9.6855282, Information Type: guidepost, Reference: VWW 96.55
Latitude: 47.2698779, Longitude: 9.6878181, Information Type: guidepost, Reference: VWW 96.03
Latitude: 47.2703617, Longitude: 9.6898946, Information Type: guidepost, Reference: VWW 96.04
Latitude: 47.2691850, Longitude: 9.6790767, Information Type: guidepost, Reference: VWW 96.22
Latitude: 47.2704709, Longitude: 9.6817874, Information Type: guidepost, Reference: VWW 96.23
Latitude: 47.2707024, Longitude: 9.6872238, Information Type: guidepost, Reference: VWW 96.25
Latitude: 47.2760965, Longitude: 9.7263992, Information Type: guidepost, Reference: VWW 96.08
Latitude: 47.2907635, Longitude: 9.7005291, Information Type: guidepost, Reference: VWW 96.43
Latitude: 47.2846183, Longitude: 9.7299100, Information Type: guidepost, Reference: VWW 96.75
Latitude: 47.2869736, Longitude: 9.7104958, Information Type: guidepost, Reference: VWW 96.46
Latitude: 47.2919065, Longitude: 9.6946404, Information Type: guidepost, Reference: VWW 96.41
Latitude: 47.2779151, Longitude: 9.7313096, Information Type: guidepost, Reference: VWW 96.09
Latitude: 47.2770423, Longitude: 9.6921295, Information Type: guidepost, Reference: VWW 96.70
Latitude: 47.2755190, Longitude: 9.7089399, Information Type: guidepost, Reference: VWW 96.07
Latitude: 47.2771796, Longitude: 9.6941825, Information Type: guidepost, Reference: VWW 96.72
Latitude: 47.2868237, Longitude: 9.6926487, Information Type: guidepost, Reference: VWW 96.69
Latitude: 47.2754977, Longitude: 9.6921912, Information Type: guidepost, Reference: VWW 96.80
Latitude: 47.2755510, Longitude: 9.6926686, Information Type: guidepost, Reference: VWW 96.71
Latitude: 47.2752002, Longitude: 9.6931527, Information Type: guidepost, Reference: VWW 96.06
Latitude: 47.2926287, Longitude: 9.6826587, Information Type: guidepost, Reference: VWW 96.89
Latitude: 47.2742137, Longitude: 9.6940074, Information Type: guidepost, Reference: VWW 96.05
Latitude: 47.2835293, Longitude: 9.6892310, Information Type: guidepost, Reference: VWW 96.67
Latitude: 47.2797973, Longitude: 9.6551207, Information Type: guidepost, Reference: VWW 96.28
Latitude: 47.2816259, Longitude: 9.6750146, Information Type: guidepost, Reference: VWW 96.30
Latitude: 47.2858584, Longitude: 9.6781703, Information Type: guidepost, Reference: VWW 96.32
Latitude: 47.2863449, Longitude: 9.6957195, Information Type: guidepost, Reference: VWW 96.77
Latitude: 47.2885686, Longitude: 9.6848654, Information Type: guidepost, Reference: VWW 96.102
Latitude: 47.2815227, Longitude: 9.6745451, Information Type: guidepost, Reference: VWW 96.51
Latitude: 47.2864272, Longitude: 9.6804417, Information Type: guidepost, Reference: VWW 96.58
Latitude: 47.2899393, Longitude: 9.6980796, Information Type: guidepost, Reference: VWW 96.42
Latitude: 47.2848926, Longitude: 9.6778361, Information Type: guidepost, Reference: VWW 96.31
Latitude: 47.2884177, Longitude: 9.6842184, Information Type: guidepost, Reference: VWW 96.57
Latitude: 47.2810687, Longitude: 9.6744189, Information Type: guidepost, Reference: VWW 96.104
Latitude: 47.2937638, Longitude: 9.6870627, Information Type: guidepost, Reference: VWW 96.103
Latitude: 47.2804738, Longitude: 9.6854744, Information Type: guidepost, Reference: VWW 96.105
Latitude: 47.2800627, Longitude: 9.6843336, Information Type: guidepost, Reference: VWW 96.106
Latitude: 47.2976936, Longitude: 9.6932066, Information Type: guidepost, Reference: VWW 96.101
Latitude: 47.2742757, Longitude: 9.6630094, Information Type: guidepost, Reference: VWW 96.99
Latitude: 47.2722159, Longitude: 9.6967845, Information Type: guidepost, Reference: VWW 96.98
Latitude: 47.2754083, Longitude: 9.6665404, Information Type: guidepost, Reference: VWW 96.100
Latitude: 47.2755758, Longitude: 9.6598180, Information Type: guidepost, Reference: VWW 96.01
Latitude: 47.2937690, Longitude: 9.6854437, Information Type: guidepost, Reference: VWW 96.38
Latitude: 47.2931481, Longitude: 9.6910305, Information Type: guidepost, Reference: VWW 96.40
Latitude: 47.2946366, Longitude: 9.6893279, Information Type: guidepost, Reference: VWW 96.93
Latitude: 47.2938666, Longitude: 9.6818426, Information Type: guidepost, Reference: VWW 96.37
Latitude: 47.2857074, Longitude: 9.6947545, Information Type: guidepost, Reference: VWW 96.59
Latitude: 47.2861572, Longitude: 9.7018908, Information Type: guidepost, Reference: VWW 96.92
Latitude: 47.2933435, Longitude: 9.7513801, Information Type: guidepost, Reference: VWW 96.78
Latitude: 47.2959848, Longitude: 9.6900998, Information Type: guidepost, Reference: VWW 96.39
Latitude: 47.2882299, Longitude: 9.6991924, Information Type: guidepost, Reference: VWW 96.91
Latitude: 47.2751412, Longitude: 9.6979737, Information Type: guidepost, Reference: VWW 96.84
Latitude: 47.2759265, Longitude: 9.7266425, Information Type: guidepost, Reference: VWW 96.08
Latitude: 47.2846718, Longitude: 9.7287165, Information Type: guidepost, Reference: VWW 96.74
Latitude: 47.2849572, Longitude: 9.6959844, Information Type: guidepost, Reference: VWW 96.60
Latitude: 47.2845614, Longitude: 9.6963242, Information Type: guidepost, Reference: VWW 96.66
Latitude: 47.2853094, Longitude: 9.6902355, Information Type: guidepost, Reference: VWW 96.96
Latitude: 47.2839141, Longitude: 9.6935629, Information Type: guidepost, Reference: VWW 96.63
Latitude: 47.2896829, Longitude: 9.6800847, Information Type: guidepost, Reference: VWW 96.35
Latitude: 47.2894444, Longitude: 9.6802941, Information Type: guidepost, Reference: VWW 96.36
Latitude: 47.2855850, Longitude: 9.6838146, Information Type: guidepost, Reference: VWW 96.56
Latitude: 47.2855737, Longitude: 9.6885610, Information Type: guidepost, Reference: VWW 96.61
Latitude: 47.2841014, Longitude: 9.6871515, Information Type: guidepost, Reference: VWW 96.62
Latitude: 47.2831241, Longitude: 9.6902853, Information Type: guidepost, Reference: VWW 96.64
Latitude: 47.2746703, Longitude: 9.6933105, Information Type: guidepost, Reference: VWW 96.82
Latitude: 47.2736115, Longitude: 9.6831238, Information Type: guidepost, Reference: VWW 96.24
Latitude: 47.2790677, Longitude: 9.6866153, Information Type: guidepost, Reference: VWW 96.65
Latitude: 47.2794401, Longitude: 9.6782410, Information Type: guidepost, Reference: VWW 96.52
Latitude: 47.2783744, Longitude: 9.6803745, Information Type: guidepost, Reference: VWW 96.53
Latitude: 47.2811741, Longitude: 9.6843465, Information Type: guidepost, Reference: VWW 96.54
Latitude: 47.2861750, Longitude: 9.6780068, Information Type: guidepost, Reference: VWW 96.33
Latitude: 47.2838538, Longitude: 9.6787019, Information Type: guidepost, Reference: VWW 96.50
Latitude: 47.2747116, Longitude: 9.6873444, Information Type: guidepost, Reference: VWW 96.81
Latitude: 47.2728019, Longitude: 9.6896682, Information Type: guidepost, Reference: VWW 96.29
Latitude: 47.2674982, Longitude: 9.6909946, Information Type: guidepost, Reference: VWW 96.26
Latitude: 47.2714459, Longitude: 9.6781445, Information Type: guidepost, Reference: VWW 96.20
Latitude: 47.2745079, Longitude: 9.6792447, Information Type: guidepost, Reference: VWW 96.87
Latitude: 47.2786307, Longitude: 9.6664084, Information Type: guidepost, Reference: VWW 96.48
Latitude: 47.2799248, Longitude: 9.6677030, Information Type: guidepost, Reference: VWW 96.49
Latitude: 47.2764827, Longitude: 9.6743386, Information Type: guidepost, Reference: VWW 96.18
Latitude: 47.2722413, Longitude: 9.6748026, Information Type: guidepost, Reference: VWW 96.86
Latitude: 47.2718883, Longitude: 9.6732902, Information Type: guidepost, Reference: VWW 96.19
Latitude: 47.2781535, Longitude: 9.6660024, Information Type: guidepost, Reference: VWW 96.16
Latitude: 47.2762191, Longitude: 9.6636967, Information Type: guidepost, Reference: VWW 96.10
Latitude: 47.2799863, Longitude: 9.6632081, Information Type: guidepost, Reference: VWW 96.85
Latitude: 47.2802769, Longitude: 9.6634930, Information Type: guidepost, Reference: VWW 96.94
Latitude: 47.2812651, Longitude: 9.6714432, Information Type: guidepost, Reference: VWW 96.17
Latitude: 47.2835259, Longitude: 9.6671461, Information Type: guidepost, Reference: VWW 96.79
Latitude: 47.2924021, Longitude: 9.6747986, Information Type: guidepost, Reference: VWW 96.88
Latitude: 47.2907057, Longitude: 9.6674012, Information Type: guidepost, Reference: VWW 96.13
Latitude: 47.2746875, Longitude: 9.6947314, Information Type: guidepost, Reference: VWW 96.83
Latitude: 47.2846794, Longitude: 9.7023390, Information Type: guidepost, Reference: VWW 96.45
