Latitude: 47.1919538, Longitude: 9.6215510, Information Type: guidepost, Reference: VWW 27.026
Latitude: 47.1929199, Longitude: 9.6255553, Information Type: guidepost, Reference: VWW 27.035
Latitude: 47.1813986, Longitude: 9.6316053, Information Type: guidepost, Reference: VWW 27.306
Latitude: 47.2234961, Longitude: 9.6269192, Information Type: guidepost, Reference: VWW 27.002
Latitude: 47.2232187, Longitude: 9.6292003, Information Type: guidepost, Reference: VWW 27.046
Latitude: 47.2250865, Longitude: 9.6267644, Information Type: guidepost, Reference: VWW 27.054
Latitude: 47.2259747, Longitude: 9.6042846, Information Type: guidepost, Reference: VWW 27.056
Latitude: 47.2297015, Longitude: 9.6035827, Information Type: guidepost, Reference: VWW 27.057
Latitude: 47.2306970, Longitude: 9.6027238, Information Type: guidepost, Reference: VWW 27.058
Latitude: 47.2296861, Longitude: 9.6008996, Information Type: guidepost, Reference: VWW 27.059
Latitude: 47.2318394, Longitude: 9.5961530, Information Type: guidepost, Reference: VWW 27.060
Latitude: 47.2324939, Longitude: 9.5956408, Information Type: guidepost, Reference: VWW 27.061
Latitude: 47.2291409, Longitude: 9.5929195, Information Type: guidepost, Reference: VWW 27.062
Latitude: 47.2285201, Longitude: 9.5929850, Information Type: guidepost, Reference: VWW 27.063
Latitude: 47.2284863, Longitude: 9.5934998, Information Type: guidepost, Reference: VWW 27.064
Latitude: 47.2276688, Longitude: 9.5930865, Information Type: guidepost, Reference: VWW 27.066
Latitude: 47.2244540, Longitude: 9.5959031, Information Type: guidepost, Reference: VWW 27.067
Latitude: 47.1804836, Longitude: 9.6229290, Information Type: guidepost, Reference: VWW 27.303
Latitude: 47.1743693, Longitude: 9.5710614, Information Type: guidepost, Reference: VWW 27.115
Latitude: 47.2097486, Longitude: 9.6154009, Information Type: guidepost, Reference: VWW 27.080
Latitude: 47.1893810, Longitude: 9.6024513, Information Type: guidepost, Reference: VWW 27.090
Latitude: 47.1817261, Longitude: 9.5748565, Information Type: guidepost, Reference: VWW 27.108
Latitude: 47.1879004, Longitude: 9.6159944, Information Type: guidepost, Reference: VWW 27.024
Latitude: 47.1923386, Longitude: 9.6180284, Information Type: guidepost, Reference: VWW 27.023
Latitude: 47.2196305, Longitude: 9.6379693, Information Type: guidepost, Reference: VWW 27.042
Latitude: 47.2195503, Longitude: 9.6380796, Information Type: guidepost, Reference: VWW 27.043
Latitude: 47.2168933, Longitude: 9.6309650, Information Type: guidepost, Reference: VWW 27.001
Latitude: 47.1716879, Longitude: 9.5700256, Information Type: guidepost, Reference: VWW 27.114
Latitude: 47.2201636, Longitude: 9.6396279, Information Type: guidepost, Reference: VWW 27.044
Latitude: 47.1986825, Longitude: 9.6599764, Information Type: guidepost, Reference: VWW 27.007
Latitude: 47.1945990, Longitude: 9.6601875, Information Type: guidepost, Reference: VWW 27.010
Latitude: 47.1955442, Longitude: 9.6537948, Information Type: guidepost, Reference: VWW 27.011
Latitude: 47.1973118, Longitude: 9.6535399, Information Type: guidepost, Reference: VWW 27.012
Latitude: 47.2087870, Longitude: 9.6362232, Information Type: guidepost, Reference: VWW 27.005
