Latitude: 47.4858343, Longitude: 9.6986809, Information Type: guidepost, Reference: VWW 34.17
Latitude: 47.4783924, Longitude: 9.6749716, Information Type: guidepost, Reference: VWW 34.09
Latitude: 47.4924601, Longitude: 9.6793972, Information Type: guidepost, Reference: VWW 34.03
Latitude: 47.4977838, Longitude: 9.6787155, Information Type: guidepost, Reference: VWW 34.04
Latitude: 47.4986238, Longitude: 9.6892077, Information Type: guidepost, Reference: VWW 34.27
Latitude: 47.4770440, Longitude: 9.6749120, Information Type: guidepost, Reference: VWW 34.44
Latitude: 47.4912655, Longitude: 9.6851845, Information Type: guidepost, Reference: VWW 34.02
Latitude: 47.4777939, Longitude: 9.6739181, Information Type: guidepost, Reference: VWW 34.10
Latitude: 47.4912919, Longitude: 9.6832359, Information Type: guidepost, Reference: VWW 34.134.R
Latitude: 47.4952536, Longitude: 9.6686772, Information Type: guidepost, Reference: VWW 34.51
Latitude: 47.5010837, Longitude: 9.6688176, Information Type: guidepost, Reference: VWW 34.14
Latitude: 47.5107357, Longitude: 9.6581328, Information Type: guidepost, Reference: VWW 34.38
Latitude: 47.4770667, Longitude: 9.6675744, Information Type: guidepost, Reference: VWW 34.42
Latitude: 47.4898299, Longitude: 9.6683862, Information Type: guidepost, Reference: VWW 34.50
Latitude: 47.4943170, Longitude: 9.6684095, Information Type: guidepost, Reference: VWW 34.47
Latitude: 47.4757301, Longitude: 9.6891187, Information Type: guidepost, Reference: VWW 34.49
Latitude: 47.4744967, Longitude: 9.6913542, Information Type: guidepost, Reference: VWW 34.48
Latitude: 47.4894853, Longitude: 9.6901990, Information Type: guidepost, Reference: VWW 34.15
Latitude: 47.4890840, Longitude: 9.6916726, Information Type: guidepost, Reference: VWW 34.16
Latitude: 47.4786188, Longitude: 9.6926941, Information Type: guidepost, Reference: VWW 34.20
Latitude: 47.4782499, Longitude: 9.6959278, Information Type: guidepost, Reference: VWW 34.46
Latitude: 47.4759625, Longitude: 9.6938723, Information Type: guidepost, Reference: VWW 34.22
Latitude: 47.4717710, Longitude: 9.6906466, Information Type: guidepost, Reference: VWW 34.23
Latitude: 47.4684068, Longitude: 9.6835272, Information Type: guidepost, Reference: VWW 34.24
Latitude: 47.4800257, Longitude: 9.6883796, Information Type: guidepost, Reference: VWW 34.21
Latitude: 47.4808885, Longitude: 9.6954572, Information Type: guidepost, Reference: VWW 34.19
Latitude: 47.4814944, Longitude: 9.7035162, Information Type: guidepost, Reference: VWW 34.18
Latitude: 47.4855315, Longitude: 9.7121052, Information Type: guidepost, Reference: VWW 34.33
Latitude: 47.4883977, Longitude: 9.7147077, Information Type: guidepost, Reference: VWW 34.32
Latitude: 47.4923823, Longitude: 9.7089452, Information Type: guidepost, Reference: VWW 34.30
Latitude: 47.4925290, Longitude: 9.7088810, Information Type: guidepost, Reference: VWW 34.31
Latitude: 47.4916030, Longitude: 9.7073395, Information Type: guidepost, Reference: VWW 34.45
Latitude: 47.4960090, Longitude: 9.6990656, Information Type: guidepost, Reference: VWW 34.36
Latitude: 47.4967658, Longitude: 9.7004570, Information Type: guidepost, Reference: VWW 34.37
Latitude: 47.4962030, Longitude: 9.6957274, Information Type: guidepost, Reference: VWW 34.35
Latitude: 47.5010240, Longitude: 9.6917818, Information Type: guidepost, Reference: VWW 34.28
Latitude: 47.4963827, Longitude: 9.6894997, Information Type: guidepost, Reference: VWW 34.26
Latitude: 47.4949899, Longitude: 9.6890472, Information Type: guidepost, Reference: VWW 34.25
Latitude: 47.4925371, Longitude: 9.6878172, Information Type: guidepost, Reference: VWW 34.01
Latitude: 47.4887849, Longitude: 9.6754731, Information Type: guidepost, Reference: VWW 34.08
Latitude: 47.4884835, Longitude: 9.6720815, Information Type: guidepost, Reference: VWW 34.07
Latitude: 47.4883650, Longitude: 9.6737683, Information Type: guidepost, Reference: VWW 34.06
Latitude: 47.4895270, Longitude: 9.6719267, Information Type: guidepost, Reference: VWW 34.39
Latitude: 47.4981141, Longitude: 9.6721559, Information Type: guidepost, Reference: VWW 34.40
Latitude: 47.5062405, Longitude: 9.6694240, Information Type: guidepost, Reference: VWW 34.41
Latitude: 47.4905255, Longitude: 9.6662996, Information Type: guidepost, Reference: VWW 34.12
Latitude: 47.4915232, Longitude: 9.6644913, Information Type: guidepost, Reference: VWW 34.13
Latitude: 47.4896737, Longitude: 9.6680764, Information Type: guidepost, Reference: VWW 34.11
Latitude: 47.4779672, Longitude: 9.6712138, Information Type: guidepost, Reference: VWW 34.43
Latitude: 47.4862096, Longitude: 9.6681622, Information Type: guidepost, Reference: VWW 29.13
Latitude: 47.4894348, Longitude: 9.6755287, Information Type: guidepost, Reference: VWW 34.05
Latitude: 47.4978343, Longitude: 9.7015769, Information Type: guidepost, Reference: VWW 34.29
