Latitude: 47.4856652, Longitude: 9.7222049, Information Type: guidepost, Reference: VWW 49.16
Latitude: 47.4863431, Longitude: 9.7219413, Information Type: guidepost, Reference: VWW 49.17
Latitude: 47.4851824, Longitude: 9.7323901, Information Type: guidepost, Reference: VWW 49.18
Latitude: 47.4823858, Longitude: 9.7223889, Information Type: guidepost, Reference: VWW 49.36
Latitude: 47.4793478, Longitude: 9.7237686, Information Type: guidepost, Reference: VWW 49.02
Latitude: 47.4776063, Longitude: 9.7246410, Information Type: guidepost, Reference: VWW 49.01
Latitude: 47.4761078, Longitude: 9.7073616, Information Type: guidepost, Reference: VWW 49.30
Latitude: 47.4766183, Longitude: 9.7142529, Information Type: guidepost, Reference: VWW 49.31
Latitude: 47.4732433, Longitude: 9.7151637, Information Type: guidepost, Reference: VWW 49.29
Latitude: 47.4775360, Longitude: 9.7139767, Information Type: guidepost, Reference: VWW 49.32
Latitude: 47.4804651, Longitude: 9.7168996, Information Type: guidepost, Reference: VWW 49.03
Latitude: 47.4816619, Longitude: 9.7181810, Information Type: guidepost, Reference: VWW 49.35
Latitude: 47.4792850, Longitude: 9.7243112, Information Type: guidepost, Reference: VWW 49.43
Latitude: 47.4854508, Longitude: 9.7309611, Information Type: guidepost, Reference: VWW 49.44
Latitude: 47.4769677, Longitude: 9.7348483, Information Type: guidepost, Reference: VWW 49.41
Latitude: 47.4808111, Longitude: 9.7120244, Information Type: guidepost, Reference: VWW 49.34
Latitude: 47.4805413, Longitude: 9.7123012, Information Type: guidepost, Reference: VWW 49.33
Latitude: 47.4806214, Longitude: 9.7132865, Information Type: guidepost, Reference: VWW 49.03
Latitude: 47.4772771, Longitude: 9.7239240, Information Type: guidepost, Reference: VWW 49.04
Latitude: 47.4703998, Longitude: 9.7236316, Information Type: guidepost, Reference: VWW 49.27
Latitude: 47.4658698, Longitude: 9.7147263, Information Type: guidepost, Reference: VWW 49.28
Latitude: 47.4761569, Longitude: 9.7170855, Information Type: guidepost, Reference: VWW 49.14
Latitude: 47.4774706, Longitude: 9.7231470, Information Type: guidepost, Reference: VWW 49.05
Latitude: 47.4791038, Longitude: 9.7233801, Information Type: guidepost, Reference: VWW 49.21
Latitude: 47.4754639, Longitude: 9.7250688, Information Type: guidepost, Reference: VWW 49.26
Latitude: 47.4691866, Longitude: 9.7108947, Information Type: guidepost, Reference: VWW 49.06
Latitude: 47.4685786, Longitude: 9.7101791, Information Type: guidepost, Reference: VWW 49.08
Latitude: 47.4788335, Longitude: 9.7324365, Information Type: guidepost, Reference: VWW 49.42
Latitude: 47.4663013, Longitude: 9.7300618, Information Type: guidepost, Reference: VWW 49.39
Latitude: 47.4657288, Longitude: 9.7040591, Information Type: guidepost, Reference: VWW 49.09
Latitude: 47.4599009, Longitude: 9.7227853, Information Type: guidepost, Reference: VWW 49.13
Latitude: 47.4591420, Longitude: 9.7212482, Information Type: guidepost, Reference: VWW 49.12
Latitude: 47.4723271, Longitude: 9.7136810, Information Type: guidepost, Reference: VWW 49.46
Latitude: 47.4698157, Longitude: 9.7076224, Information Type: guidepost, Reference: VWW 49.45
Latitude: 47.4665356, Longitude: 9.7373557, Information Type: guidepost, Reference: VWW 49.38
Latitude: 47.4706762, Longitude: 9.7288370, Information Type: guidepost, Reference: VWW 49.40
Latitude: 47.4629897, Longitude: 9.7302918, Information Type: guidepost, Reference: VWW 49.37
Latitude: 47.4480904, Longitude: 9.7004224, Information Type: guidepost, Reference: VWW 49.25
Latitude: 47.4627530, Longitude: 9.6819484, Information Type: guidepost, Reference: VWW 49.24
Latitude: 47.4626032, Longitude: 9.6825753, Information Type: guidepost, Reference: VWW 49.22
Latitude: 47.4600316, Longitude: 9.6955517, Information Type: guidepost, Reference: VWW 49.10
Latitude: 47.4569892, Longitude: 9.7123017, Information Type: guidepost, Reference: VWW 49.11
Latitude: 47.4720237, Longitude: 9.6985191, Information Type: guidepost, Reference: VWW 49.07
Latitude: 47.4705397, Longitude: 9.7120858, Information Type: guidepost, Reference: VWW 49.06
Latitude: 47.4749871, Longitude: 9.7196980, Information Type: guidepost, Reference: VWW 49.15
Latitude: 47.4748341, Longitude: 9.7307718, Information Type: guidepost, Reference: VWW 49.19
Latitude: 47.4811071, Longitude: 9.7090308, Information Type: guidepost, Reference: VWW 34.34
Latitude: 47.4671019, Longitude: 9.6804909, Information Type: guidepost, Reference: VWW 49.23
Latitude: 47.4805869, Longitude: 9.7112900, Information Type: guidepost, Reference: VWW 49.33
Latitude: 47.4805785, Longitude: 9.7112922, Information Type: guidepost, Reference: VWW 49.546.R
Latitude: 47.4807600, Longitude: 9.7113016, Information Type: guidepost, Reference: VWW 49.547.R
