Latitude: 47.0840967, Longitude: 9.9042038, Information Type: guidepost, Reference: VWW 78.017
Latitude: 47.0837682, Longitude: 9.9030198, Information Type: guidepost, Reference: VWW 78.016
Latitude: 47.0702659, Longitude: 9.9296044, Information Type: guidepost, Reference: VWW 78.063
Latitude: 47.0598164, Longitude: 9.9355651, Information Type: guidepost, Reference: VWW 78.081
Latitude: 47.0885767, Longitude: 9.9465454, Information Type: guidepost, Reference: VWW 78.037
Latitude: 47.0815084, Longitude: 9.9201666, Information Type: guidepost, Reference: VWW 78.027
Latitude: 47.0834042, Longitude: 9.9404446, Information Type: guidepost, Reference: VWW 78.039
Latitude: 47.0708609, Longitude: 9.9233867, Information Type: guidepost, Reference: VWW 78.088
Latitude: 47.0747489, Longitude: 9.9724038, Information Type: guidepost, Reference: VWW 78.120
Latitude: 47.0636482, Longitude: 9.9744782, Information Type: guidepost, Reference: VWW 78.131
Latitude: 47.0629758, Longitude: 9.9763063, Information Type: guidepost, Reference: VWW 78.132
Latitude: 47.0784421, Longitude: 9.9223756, Information Type: guidepost, Reference: VWW 78.045
Latitude: 47.0852617, Longitude: 9.8883175, Information Type: guidepost, Reference: VWW 78.008
Latitude: 47.0792394, Longitude: 9.9033427, Information Type: guidepost, Reference: VWW 78.096
Latitude: 47.0782078, Longitude: 9.9045273, Information Type: guidepost, Reference: VWW 89.001
Latitude: 47.0792843, Longitude: 9.9039936, Information Type: guidepost, Reference: VWW 78.007
Latitude: 47.0721554, Longitude: 9.9148260, Information Type: guidepost, Reference: VWW 78.100
Latitude: 47.0798742, Longitude: 9.9174609, Information Type: guidepost, Reference: VWW 78.001
Latitude: 47.0787574, Longitude: 9.9194752, Information Type: guidepost, Reference: VWW 78.125
Latitude: 47.0758366, Longitude: 9.9176458, Information Type: guidepost, Reference: VWW 78.092
Latitude: 47.0738707, Longitude: 9.9165046, Information Type: guidepost, Reference: VWW 78.099
Latitude: 47.0718858, Longitude: 9.9489166, Information Type: guidepost, Reference: VWW 78.111
Latitude: 47.0777320, Longitude: 9.9249626, Information Type: guidepost, Reference: VWW 78.046
Latitude: 47.0784016, Longitude: 9.9052517, Information Type: guidepost, Reference: VWW 78.142
Latitude: 47.0731994, Longitude: 9.9298121, Information Type: guidepost, Reference: VWW 78.136
Latitude: 47.0849925, Longitude: 9.8956947, Information Type: guidepost, Reference: VWW 78.015
Latitude: 47.0847545, Longitude: 9.9009740, Information Type: guidepost, Reference: VWW 78.013
Latitude: 47.0831864, Longitude: 9.9144818, Information Type: guidepost, Reference: VWW 78.014
Latitude: 47.0822082, Longitude: 9.9188845, Information Type: guidepost, Reference: VWW 78.024
Latitude: 47.0827890, Longitude: 9.9177939, Information Type: guidepost, Reference: VWW 78.023
Latitude: 47.0815873, Longitude: 9.9167706, Information Type: guidepost, Reference: VWW 78.022
Latitude: 47.0816488, Longitude: 9.9165713, Information Type: guidepost, Reference: VWW 78.021
Latitude: 47.0777749, Longitude: 9.9250859, Information Type: guidepost, Reference: VWW 78.127
Latitude: 47.0808722, Longitude: 9.9213035, Information Type: guidepost, Reference: VWW 78.026
Latitude: 47.0800599, Longitude: 9.9195947, Information Type: guidepost, Reference: VWW 78.004
Latitude: 47.0798775, Longitude: 9.9232869, Information Type: guidepost, Reference: VWW 78.031
Latitude: 47.0774829, Longitude: 9.9259360, Information Type: guidepost, Reference: VWW 78.047
Latitude: 47.0800107, Longitude: 9.9268095, Information Type: guidepost, Reference: VWW 78.030
Latitude: 47.0821799, Longitude: 9.9257070, Information Type: guidepost, Reference: VWW 78.029
Latitude: 47.0820095, Longitude: 9.9251663, Information Type: guidepost, Reference: VWW 78.028
Latitude: 47.0782826, Longitude: 9.9205557, Information Type: guidepost, Reference: VWW 78.091
Latitude: 47.0755010, Longitude: 9.9253752, Information Type: guidepost, Reference: VWW 78.085
Latitude: 47.0757343, Longitude: 9.9236814, Information Type: guidepost, Reference: VWW 78.089
Latitude: 47.0714860, Longitude: 9.9329409, Information Type: guidepost, Reference: VWW 78.061
Latitude: 47.0720000, Longitude: 9.9310309, Information Type: guidepost, Reference: VWW 78.059
Latitude: 47.0668629, Longitude: 9.9375091, Information Type: guidepost, Reference: VWW 78.055
Latitude: 47.0688819, Longitude: 9.9349214, Information Type: guidepost, Reference: VWW 78.058
Latitude: 47.0706435, Longitude: 9.9371982, Information Type: guidepost, Reference: VWW 78.052
